# Base (Up to date)
# 739 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (80.8 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-6.555e-4,-0.131,-13.11,0.131,13.11,0,0,0,0,0,0,41.998,-88.006,32.162,92.59,0,0,0,1.521e4,3671,6.234,0.049,NaN,64.882,NaN,0.003,1.453e5,88.288,-1.184e-6,0.828,-1.885e-4,0.565,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.421e-5,5.157,130,90.012,0,2.894,13.613,988.2,1114.003,0.01,0.003
0.02,0.001,0.249,25,0.249,25,0,0,0,0,0,0,41.998,-88.006,32.162,85.084,0,0,0,1.52e4,3668,6.233,0.049,NaN,64.882,NaN,0.003,1.457e5,264.865,8e-6,0.828,0.001,0.564,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.709e-5,5.157,130,90.012,0,2.89,13.613,988.2,1114.003,0.01,0.004
0.03,0.007,0.883,63.127,0.883,63.127,0,0,0,0,0,0,41.998,-88.006,32.162,73.052,0,0,0,1.52e4,3665,6.232,0.049,NaN,64.882,NaN,0.003,1.516e5,441.441,3.029e-4,0.822,0.044,0.559,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.551e-5,5.157,130,90.012,0,2.89,13.613,988.2,1114.003,0.01,0.005
0.04,0.02,1.893,101.266,1.893,101.266,0,0,0,0,0,0,41.998,-88.006,32.162,56.723,0,0,0,1.52e4,3663,6.231,0.049,NaN,64.882,NaN,0.003,1.733e5,618.017,0.002,0.805,0.26,0.541,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.052e-4,5.157,130,90.012,0,2.887,13.613,988.2,1114.003,0.01,0.006
0.05,0.046,3.287,139.416,3.287,139.416,0,0,0,0,0,0,41.998,-88.006,32.162,41.253,0,0,0,1.519e4,3660,6.23,0.049,NaN,64.882,NaN,0.004,2.196e5,794.594,0.009,0.775,0.599,0.512,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.563e-4,5.157,130,90.012,0,2.887,13.613,988.2,1114.003,0.01,0.007
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.089,4.987,169.82,4.987,169.82,0,0,0,0,0,0,41.998,-88.006,32.162,30.138,0,0,0,1.519e4,3654,6.228,0.049,NaN,64.882,NaN,0.005,2.894e5,935.074,0.02,0.744,0.821,0.48,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.404e-4,5.157,130,90.012,0,2.894,13.613,988.2,1114.003,0.01,0.009
0.07,0.148,6.762,177.657,6.762,177.657,0,0,0,0,0,0,41.998,-88.006,32.162,23.262,0,0,0,1.518e4,3648,6.226,0.049,NaN,64.843,NaN,0.007,3.694e5,970.949,0.036,0.718,0.897,0.455,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.329e-4,5.157,130,90.012,0,2.904,13.613,988.2,1114.003,0.01,0.011
0.08,0.223,8.602,184.068,8.602,184.068,0,0,0,0,0,0,41.998,-88.006,32.162,18.678,0,0,0,1.518e4,3641,6.224,0.049,NaN,64.843,NaN,0.008,4.559e5,1000.194,0.056,0.698,0.904,0.434,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.324e-4,5.157,130,90.012,0,2.913,13.613,988.2,1114.003,0.01,0.011
0.09,0.318,10.505,190.482,10.505,190.482,0,0,0,0,0,0,41.998,-88.006,32.162,15.527,0,0,0,1.517e4,3635,6.222,0.049,NaN,64.843,NaN,0.01,5.474e5,1029.438,0.079,0.681,0.881,0.418,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,90.012,0,2.92,13.613,988.2,1114.003,0.01,0.012
