# Cold -15C (Data loaded from a file)
# 738 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (78.2 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-6.555e-4,-0.131,-13.11,0.131,13.11,0,0,0,0,0,0,41.998,-88.006,32.162,91.731,0,0,0,1.521e4,3671,6.234,0.049,NaN,64.882,NaN,0.004,2.405e5,88.288,-7.833e-7,0.764,-5.247e-5,0.501,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.421e-5,5.157,130,90.012,0,4.327,-0.641,998,1085.666,0.01,0.003
0.02,0.001,0.249,25,0.249,25,0,0,0,0,0,0,41.998,-88.006,32.162,86.689,0,0,0,1.52e4,3668,6.233,0.049,NaN,64.882,NaN,0.004,2.412e5,264.865,5.325e-6,0.764,3.547e-4,0.501,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.709e-5,5.157,130,90.012,0,4.334,-0.641,998,1085.666,0.01,0.004
0.03,0.007,0.883,63.127,0.883,63.127,0,0,0,0,0,0,41.998,-88.006,32.162,78.553,0,0,0,1.52e4,3665,6.232,0.049,NaN,64.882,NaN,0.004,2.461e5,441.441,2.12e-4,0.762,0.014,0.498,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.551e-5,5.157,130,90.012,0,4.344,-0.641,998,1085.666,0.01,0.005
0.04,0.02,1.893,101.266,1.893,101.266,0,0,0,0,0,0,41.998,-88.006,32.162,66.463,0,0,0,1.52e4,3663,6.231,0.049,NaN,64.882,NaN,0.004,2.635e5,618.017,0.002,0.754,0.1,0.49,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.052e-4,5.157,130,90.012,0,4.35,-0.641,998,1085.666,0.01,0.006
0.05,0.046,3.287,139.416,3.287,139.416,0,0,0,0,0,0,41.998,-88.006,32.162,52.941,0,0,0,1.519e4,3660,6.23,0.049,NaN,64.882,NaN,0.005,3.031e5,794.594,0.007,0.739,0.311,0.475,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.563e-4,5.157,130,90.012,0,4.357,-0.641,998,1085.666,0.01,0.007
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.089,4.987,169.823,4.987,169.823,0,0,0,0,0,0,41.998,-88.006,32.162,41.196,0,0,0,1.519e4,3654,6.228,0.049,NaN,64.882,NaN,0.006,3.681e5,935.074,0.019,0.719,0.556,0.455,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.404e-4,5.157,130,90.012,0,4.367,-0.641,998,1085.666,0.01,0.008
0.07,0.148,6.762,177.657,6.762,177.657,0,0,0,0,0,0,41.998,-88.006,32.162,32.888,0,0,0,1.518e4,3648,6.226,0.049,NaN,64.843,NaN,0.007,4.474e5,970.949,0.037,0.7,0.719,0.436,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.329e-4,5.157,130,90.012,0,4.377,-0.641,998,1085.666,0.01,0.009
0.08,0.223,8.602,184.068,8.602,184.068,0,0,0,0,0,0,41.998,-88.006,32.162,27.044,0,0,0,1.518e4,3641,6.224,0.049,NaN,64.843,NaN,0.009,5.363e5,1000.194,0.06,0.683,0.805,0.42,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.324e-4,5.157,130,90.012,0,4.386,-0.641,998,1085.666,0.01,0.01
0.09,0.318,10.505,190.479,10.505,190.479,0,0,0,0,0,0,41.998,-88.006,32.162,22.689,0,0,0,1.517e4,3635,6.222,0.049,NaN,64.843,NaN,0.01,6.325e5,1029.438,0.087,0.669,0.841,0.405,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,90.012,0,4.396,-0.641,998,1085.663,0.01,0.011
0.1,0.433,12.474,196.9,12.474,196.9,0,0,0,0,0,0,41.998,-88.006,32.162,19.481,0,0,0,1.516e4,3628,6.219,0.049,NaN,64.843,NaN,0.012,7.348e5,1058.683,0.118,0.657,0.848,0.393,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,90.012,0,4.406,-0.641,998,1085.663,0.01,0.012
0.11,0.568,14.508,203.323,14.508,203.323,0,0,0,0,0,0,41.998,-88.006,32.162,16.902,0,0,0,1.515e4,3621,6.217,0.049,NaN,64.803,NaN,0.014,8.42e5,1087.928,0.154,0.646,0.84,0.382,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,4.4,-0.641,998,1085.663,0.01,0.013
0.12,0.725,16.604,209.751,16.604,209.751,0,0,0,0,0,0,41.998,-88.006,32.162,14.84,0,0,0,1.515e4,3615,6.215,0.049,NaN,64.803,NaN,0.016,9.54e5,1117.173,0.192,0.636,0.819,0.373,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,4.396,-0.641,998,1085.663,0.01,0.014
0.13,0.902,18.766,216.181,18.766,216.181,0,0,0,0,0,0,41.998,-88.006,32.162,13.178,0,0,0,1.514e4,3608,6.213,0.049,NaN,64.803,NaN,0.018,1.07e6,1146.418,0.234,0.628,0.792,0.364,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,4.39,-0.642,998,1085.663,0.01,0.015
0.14,1.099,20.991,222.621,20.991,222.621,0,0,0,0,0,0,41.998,-88.006,32.162,11.803,0,0,0,1.514e4,3602,6.21,0.049,NaN,64.803,NaN,0.02,1.191e6,1175.663,0.28,0.62,0.765,0.357,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,4.383,-0.642,998,1085.663,0.01,0.016
