# Pressure - High (Data loaded from a file)
# 741 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (78.7 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-6.555e-4,-0.131,-13.11,0.131,13.11,0,0,0,0,0,0,41.998,-88.006,32.162,92.533,0,0,0,1.521e4,3671,6.234,0.049,NaN,64.882,NaN,0.003,1.567e5,88.288,-1.184e-6,0.818,-1.69e-4,0.554,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.421e-5,5.157,130,90.012,0,2.989,14.189,1035,1115.151,0.01,0.002
0.02,0.001,0.249,25,0.249,25,0,0,0,0,0,0,41.998,-88.006,32.162,85.199,0,0,0,1.52e4,3668,6.233,0.049,NaN,64.882,NaN,0.003,1.568e5,264.865,8.02e-6,0.818,0.001,0.554,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.709e-5,5.157,130,90.012,0,2.982,14.189,1035,1115.151,0.01,0.003
0.03,0.007,0.883,63.127,0.883,63.127,0,0,0,0,0,0,41.998,-88.006,32.162,73.51,0,0,0,1.52e4,3665,6.232,0.049,NaN,64.882,NaN,0.003,1.627e5,441.441,3.055e-4,0.813,0.04,0.549,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.551e-5,5.157,130,90.012,0,2.976,14.189,1035,1115.151,0.01,0.004
0.04,0.02,1.893,101.266,1.893,101.266,0,0,0,0,0,0,41.998,-88.006,32.162,57.468,0,0,0,1.52e4,3663,6.231,0.049,NaN,64.882,NaN,0.003,1.846e5,618.017,0.002,0.797,0.244,0.533,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.052e-4,5.157,130,90.012,0,2.972,14.189,1035,1115.151,0.01,0.005
0.05,0.046,3.287,139.416,3.287,139.416,0,0,0,0,0,0,41.998,-88.006,32.162,42.055,0,0,0,1.519e4,3660,6.23,0.049,NaN,64.882,NaN,0.004,2.32e5,794.594,0.009,0.769,0.575,0.505,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.563e-4,5.157,130,90.012,0,2.966,14.189,1035,1115.151,0.01,0.006
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.089,4.987,169.82,4.987,169.82,0,0,0,0,0,0,41.998,-88.006,32.162,30.711,0,0,0,1.519e4,3654,6.228,0.049,NaN,64.882,NaN,0.005,3.039e5,935.074,0.021,0.738,0.804,0.475,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.404e-4,5.157,130,90.012,0,2.963,14.189,1035,1115.151,0.01,0.006
0.07,0.148,6.762,177.657,6.762,177.657,0,0,0,0,0,0,41.998,-88.006,32.162,23.663,0,0,0,1.518e4,3648,6.226,0.049,NaN,64.843,NaN,0.007,3.867e5,970.949,0.038,0.714,0.887,0.45,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.329e-4,5.157,130,90.012,0,2.959,14.189,1035,1115.148,0.01,0.007
0.08,0.223,8.602,184.068,8.602,184.068,0,0,0,0,0,0,41.998,-88.006,32.162,18.965,0,0,0,1.518e4,3641,6.224,0.049,NaN,64.843,NaN,0.008,4.766e5,1000.194,0.058,0.694,0.898,0.43,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.324e-4,5.157,130,90.012,0,2.959,14.189,1035,1115.148,0.01,0.008
0.09,0.318,10.505,190.482,10.505,190.482,0,0,0,0,0,0,41.998,-88.006,32.162,15.699,0,0,0,1.517e4,3635,6.222,0.049,NaN,64.843,NaN,0.01,5.718e5,1029.438,0.082,0.678,0.877,0.414,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,90.012,0,2.956,14.189,1035,1115.148,0.01,0.009
