time,altitude,speed,acceleration
0.01,-0.001,-0.297,-29.701
0.02,0.004,0.71,70.969
0.03,0.023,3.176,246.697
0.04,0.071,6.521,334.575
0.05,0.153,9.863,334.324
0.06,0.268,13.021,315.862
0.07,0.413,16.076,305.539
0.08,0.589,19.048,297.303
0.09,0.794,21.914,286.73
0.1,1.027,24.713,279.937
0.11,1.288,27.507,279.412
0.12,1.577,30.329,282.342
0.13,1.895,33.181,285.273
0.14,2.241,36.063,288.206
0.15,2.616,38.974,291.14
0.16,3.021,41.914,294.075
0.17,3.454,44.883,297.01
0.18,3.918,47.882,299.946
0.19,4.412,50.91,302.883
0.2,4.937,53.968,305.821
0.21,5.492,57.039,307.239
0.22,6.077,60.11,307.127
0.23,6.694,63.179,307.014
0.24,7.341,66.248,306.899
0.25,8.019,69.315,306.782
0.26,8.727,72.381,306.664
0.27,9.466,75.446,306.543
0.28,10.236,78.509,306.421
0.29,11.037,81.572,306.297
0.3,11.868,84.633,306.172
0.31,12.729,87.698,306.58
0.325,14.079,92.313,307.786
0.348,16.235,99.275,309.59
0.381,19.763,109.805,312.287
0.431,25.648,125.613,316.566
0.481,32.331,141.727,322.542
0.531,39.828,158.126,328.246
0.581,48.149,174.743,332.57
0.631,57.307,191.571,336.771
0.681,67.312,208.614,341.051
0.731,78.173,225.86,345.098
0.781,89.901,243.267,348.291
0.831,102.503,260.797,350.728
0.881,115.981,278.329,350.725
0.931,130.335,295.843,350.34
0.981,145.564,313.319,349.555
1.031,161.665,330.717,347.965
1.081,178.631,347.902,343.663
1.131,196.45,364.857,339.03
1.181,215.111,381.58,334.351
1.231,234.603,398.117,330.607
1.281,254.923,414.654,330.58
1.331,276.068,431.17,330.126
1.381,298.036,447.525,326.866
1.431,320.817,463.713,323.502
1.481,344.404,479.774,320.936
1.531,368.791,495.695,318.102
1.581,393.969,511.42,314.14
1.631,419.928,526.943,310.085
1.681,446.659,542.276,306.259
1.731,474.151,557.413,302.32
1.781,502.395,572.338,298.029
1.831,531.381,587.081,294.388
1.881,561.103,601.78,293.463
1.931,591.559,616.471,293.293
1.981,622.753,631.255,295.104
