# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),,Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
2.309,928.76,725.333,-73.229,729.121,73.355,91.029,0.01,91.029,0.006,74.223,4.289,42,-88,32.159,7.81E-04,0,-3.52E-04,3.74E-04,34.953,4.48,200.756,1.563,84.485,67.752,3.249,0.657,3.91E+07,30.633,230.104,0.594,0.594,0.322,0.087,0.176,1.62E-04,2.56E-04,-2.26E-04,0,0,0,0,-4.43E-07,0.079,5.15,20.831,84.158,0.018,0,53.192,955.025,1110.346,0.048,0.086
2.359,964.927,721.373,-78.893,725.155,79.062,94.734,0.011,94.734,0.007,73.969,5.169,42,-88,32.159,0.019,0,-1.73E-04,-5.27E-06,34.953,4.48,200.756,1.563,85.235,67.752,3.395,0.653,3.89E+07,0,227.132,0.593,0.593,0.323,0.087,0.175,0.004,0.013,1.51E-04,0,0,0,0,-1.08E-07,0.079,5.15,20.831,84.166,0.017,0,53.063,953.774,1110.203,0.05,0.087
2.409,1000.898,717.444,-78.279,721.22,78.454,98.426,0.012,98.426,0.007,73.707,5.227,42,-88,32.159,0.027,0,6.42E-04,2.87E-05,34.953,4.48,200.756,1.563,85.214,67.752,3.391,0.65,3.86E+07,0,224.212,0.593,0.593,0.323,0.087,0.175,0.006,0.019,-4.90E-04,0,0,0,0,1.51E-06,0.078,5.15,20.831,84.162,0.014,0,52.934,952.549,1110.062,0.05,0.087
2.459,1036.672,713.544,-77.699,717.315,77.863,102.105,0.012,102.105,0.007,73.449,5.055,42,-88,32.158,0.019,5.13E-09,0.001,5.70E-05,34.953,4.48,200.756,1.563,85.208,67.752,3.39,0.646,3.84E+07,0,221.339,0.592,0.592,0.323,0.087,0.174,0.004,0.013,1.32E-04,0,0,0,0,7.45E-06,0.078,5.15,20.831,84.142,0.008,0,52.807,951.331,1109.921,0.05,0.088
2.509,1072.253,709.674,-77.142,713.439,77.288,105.771,0.013,105.771,0.007,73.204,4.747,42,-88,32.158,0.002,-5.59E-09,0.002,6.29E-04,34.953,4.48,200.756,1.563,85.022,67.752,3.353,0.643,3.82E+07,0,218.51,0.591,0.591,0.323,0.087,0.174,4.52E-04,0.002,6.40E-06,0,0,0,0,9.89E-06,0.078,5.15,20.831,84.112,0.005,0,52.68,950.119,1109.781,0.05,0.089
2.559,1107.64,705.83,-76.594,709.592,76.723,109.426,0.014,109.426,0.007,72.975,4.448,42,-88,32.158,0.015,0,-0.002,9.11E-05,34.953,4.48,200.756,1.563,85.184,67.752,3.385,0.639,3.79E+07,0,215.727,0.591,0.591,0.323,0.086,0.173,0.003,0.011,9.00E-06,0,0,0,0,-8.88E-06,0.077,5.15,20.831,84.081,0.007,0,52.554,948.914,1109.641,0.05,0.09
2.609,1142.836,702.014,-76.041,705.774,76.161,113.069,0.015,113.069,0.008,72.758,4.283,42,-88,32.158,0.023,0,-9.41E-04,2.92E-05,34.953,4.48,200.756,1.563,85.164,67.752,3.381,0.636,3.77E+07,0,212.987,0.59,0.59,0.323,0.086,0.173,0.005,0.016,2.91E-04,0,0,0,0,-3.38E-06,0.077,5.15,20.831,84.059,0.012,0,52.428,947.715,1109.503,0.05,0.091
2.659,1177.842,698.226,-75.478,701.985,75.6,116.701,0.016,116.701,0.008,72.544,4.297,42,-88,32.158,0.019,0,-2.40E-04,3.45E-06,34.953,4.48,200.756,1.563,85.155,67.752,3.379,0.633,3.75E+07,0,210.289,0.59,0.59,0.324,0.086,0.172,0.004,0.013,2.60E-04,0,0,0,0,-2.23E-07,0.076,5.15,20.831,84.049,0.016,0,52.303,946.523,1109.365,0.05,0.092
2.709,1212.659,694.466,-74.91,698.223,75.042,120.323,0.016,120.323,0.008,72.326,4.443,42,-88,32.158,0.006,0,1.31E-04,6.55E-06,34.953,4.48,200.756,1.563,85.145,67.752,3.377,0.629,3.72E+07,0,207.633,0.589,0.589,0.324,0.086,0.172,0.001,0.005,-2.19E-04,0,0,0,0,6.64E-08,0.076,5.15,20.831,84.049,0.017,0,52.179,945.338,1109.228,0.05,0.093
2.759,1247.289,690.735,-74.348,694.488,74.491,123.934,0.017,123.934,0.008,72.099,4.616,42,-88,32.158,0.01,0,-6.69E-05,4.59E-06,34.953,4.48,200.756,1.563,85.139,67.752,3.376,0.626,3.70E+07,0,205.018,0.589,0.589,0.324,0.086,0.171,0.002,0.007,4.78E-04,0,0,0,0,-1.77E-08,0.076,5.15,20.831,84.052,0.017,0,52.056,944.158,1109.091,0.05,0.093
