#time,alt,vx,vy,vz,wx,wy,wz,thetax,thetay,thetaz,windx,windy,u
0,956.501,692.672,0.326083,0.0857658,0,0.00194516,-0.0145476,0.000226861,0.000123865,0.102455,1.24341,18.2313,0
0.05,990.867,689.295,1.29432,0.144997,0,0.00149836,-0.0320068,0.000226658,0.000210333,0.101288,0.705874,33.3461,0
0.1,1025.06,685.932,2.82211,0.198116,0,0.00161144,-0.0474475,0.000226157,0.000288658,0.0992987,-0.362397,27.4946,0
0.15,1059.09,682.585,4.85761,0.271982,0,0.00273333,-0.0622779,0.000225221,0.000397974,0.096552,-2.10289,28.5977,0
0.2,1092.96,679.245,7.35853,0.396072,0,0.00459954,-0.0755965,0.000223546,0.000582008,0.0931011,-3.13013,26.1546,0
0.25,1126.66,675.911,10.2873,0.549127,0,0.00448614,-0.0885595,0.000220672,0.000810511,0.0889929,-0.305158,28.7274,0
0.3,1160.19,672.575,13.6078,0.705868,0,0.0048895,-0.100048,0.000216287,0.00104622,0.0842732,-1.15268,26.8878,0
0.35,1193.56,669.235,17.2967,0.860001,0,0.00438993,-0.111934,0.000210095,0.00127996,0.0789688,-0.0139813,34.0227,0
0.4,1226.77,665.881,21.3331,0.994741,0,0.00378578,-0.122454,0.000201959,0.00148643,0.073104,-0.140069,33.2745,0
0.45,1259.82,662.511,25.5851,1.02101,0,-0.00228518,-0.124751,0.000192372,0.00153148,0.0668712,0.384039,24.1379,0
0.5,1292.7,659.129,29.9432,0.98505,0,0.000472254,-0.132599,0.000182741,0.00148168,0.0604299,-3.21106,34.2886,0
0.55,1325.43,655.728,34.4265,0.893333,0,-0.00587122,-0.132854,0.000173095,0.00134747,0.0537501,1.18571,32.336,0
0.6,1358,652.322,38.7177,0.670006,0,-0.00753971,-0.124461,0.000165452,0.00101018,0.047314,1.22536,26.3487,0
0.65,1390.41,648.926,42.731,0.373356,0,-0.010318,-0.11765,0.000160622,0.000557454,0.0412557,1.85949,34.7148,0
0.7,1422.66,645.539,46.4745,0.0362332,0,-0.0104359,-0.109759,0.000158909,3.82595e-05,0.0355682,-0.0672421,34.4269,0
0.75,1454.75,642.169,49.9057,-0.266943,0,-0.00844194,-0.0999897,0.000159967,-0.000432469,0.0303225,-4.11587,27.4776,0
0.8,1486.69,638.824,52.988,-0.53726,0,-0.0084841,-0.0895888,0.000163001,-0.000855348,0.0255814,0.494685,26.9453,0
0.85,1518.48,635.51,55.7202,-0.80324,0,-0.00830561,-0.0794611,0.000167489,-0.00127479,0.0213539,0.229873,29.7707,0
0.9,1550.11,632.231,58.0701,-1.05048,0,-0.00744205,-0.0667518,0.000172861,-0.00166804,0.0176976,-1.66067,18.8763,0
0.95,1581.59,628.999,60.0427,-1.27734,0,-0.00712613,-0.056647,0.000178558,-0.00203198,0.0146119,0.310241,31.9882,0
1,1612.92,625.809,61.6689,-1.49219,0,-0.00678924,-0.0455936,0.000184185,-0.00237964,0.0120555,0.377863,28.0306,0
1.05,1644.09,622.666,62.9293,-1.70812,0,-0.00729389,-0.0339697,0.000189247,-0.0027317,0.0100663,3.19166,25.5033,0
1.1,1675.12,619.572,63.8174,-1.94553,0,-0.00827711,-0.0222092,0.000193332,-0.00312112,0.00866206,5.05824,24.653,0
1.15,1705.99,616.531,64.3409,-2.18785,0,-0.00774409,-0.0107728,0.000196052,-0.00352174,0.00783799,0.274595,25.7589,0
1.2,1736.72,613.542,64.5205,-2.4208,0,-0.0077831,-8.08183e-05,0.00019704,-0.00391016,0.00756738,2.42839,28.5905,0
1.25,1767.3,610.603,64.3792,-2.63552,0,-0.00667702,0.0101373,0.000195991,-0.00427188,0.00781977,-1.238,29.7232,0
1.3,1797.73,607.711,63.927,-2.81874,0,-0.00581902,0.0204206,0.000192586,-0.00458458,0.00858495,-0.290121,28.0714,0
1.35,1828.01,604.865,63.183,-2.98766,0,-0.0058191,0.0296346,0.000186649,-0.00487598,0.00983775,2.89598,31.7948,0
1.4,1858.15,602.061,62.2022,-3.14362,0,-0.00504823,0.0364852,0.000178343,-0.00514815,0.0114923,0.696973,41.7326,0
1.45,1888.14,599.291,60.9781,-3.27487,0,-0.00425495,0.0463464,0.000167415,-0.00538119,0.0135649,0.224804,24.5669,0
1.5,1917.99,596.562,59.5044,-3.35665,0,-0.00181296,0.0537968,0.000153712,-0.00553331,0.0160705,-5.332,33.8852,0
1.55,1947.7,593.864,57.8015,-3.38112,0,-0.000439212,0.0625015,0.000137511,-0.00559002,0.0189801,-1.87071,25.4959,0
1.6,1977.26,591.2,55.8749,-3.36152,0,0.00114768,0.0697421,0.000119024,-0.00557269,0.0222885,-2.47872,30.1848,0
