v,a,p,T,Y
0.063,85.123,56.504,988.226,0.503
0.062,85.12,56.504,988.226,0.503
0.06,85.116,56.504,988.226,0.503
0.058,85.113,56.504,988.226,0.503
0.056,85.11,56.504,988.226,0.503
0.055,85.106,56.504,988.226,0.503
0.053,85.103,56.504,988.226,0.503
0.051,85.1,56.504,988.226,0.503
0.05,85.096,56.504,988.226,0.503
0.048,85.093,56.504,988.226,0.503
0.01,85.02,56.504,988.226,0.503
0.063,84.878,56.504,988.226,0.502
0.198,84.614,56.504,988.226,0.502
0.407,84.208,56.504,988.226,0.502
0.689,83.661,56.504,988.226,0.502
1.045,82.974,56.504,988.226,0.502
1.473,82.149,56.504,988.226,0.502
1.975,81.186,56.504,988.226,0.502
2.549,80.089,56.504,988.226,0.502
3.197,78.861,56.504,988.226,0.501
3.886,77.567,56.504,988.225,0.501
4.583,76.27,56.504,988.225,0.501
5.29,74.97,56.504,988.225,0.5
6.004,73.671,56.503,988.224,0.5
,,,,
6.728,72.374,56.503,988.224,0.499
7.46,71.079,56.503,988.223,0.499
8.201,69.789,56.503,988.223,0.498
8.949,68.509,56.503,988.222,0.498
9.693,67.257,56.503,988.222,0.497
10.432,66.036,56.503,988.221,0.497
11.165,64.846,56.503,988.22,0.496
11.893,63.688,56.503,988.219,0.495
12.616,62.561,56.503,988.218,0.495
13.333,61.464,56.503,988.218,0.494
14.045,60.398,56.503,988.217,0.493
14.751,59.362,56.503,988.216,0.493
15.453,58.355,56.502,988.214,0.492
16.153,57.37,56.502,988.213,0.491
16.853,56.407,56.502,988.212,0.491
17.553,55.465,56.502,988.211,0.49
18.253,54.545,56.502,988.21,0.489
18.952,53.645,56.502,988.208,0.488
19.651,52.767,56.502,988.207,0.488
20.349,51.909,56.502,988.206,0.487
21.047,51.07,56.501,988.204,0.486
21.745,50.252,56.501,988.203,0.485
22.442,49.453,56.501,988.201,0.485
23.14,48.673,56.501,988.199,0.484
23.836,47.912,56.501,988.198,0.483
24.533,47.169,56.501,988.196,0.482
25.229,46.443,56.5,988.194,0.482
25.924,45.735,56.5,988.192,0.481
26.62,45.044,56.5,988.19,0.481
27.315,44.37,56.5,988.189,0.481
28.009,43.712,56.5,988.187,0.481
28.704,43.069,56.5,988.185,0.481
29.398,42.442,56.499,988.182,0.481
30.091,41.83,56.499,988.18,0.481
30.785,41.233,56.499,988.178,0.481
31.478,40.649,56.499,988.176,0.481
32.17,40.08,56.498,988.174,0.481
32.862,39.524,56.498,988.171,0.481
33.554,38.981,56.498,988.169,0.481
34.246,38.45,56.498,988.167,0.481
34.937,37.932,56.497,988.164,0.481
35.628,37.426,56.497,988.162,0.481
36.318,36.932,56.497,988.159,0.481
37.008,36.449,56.497,988.156,0.481
37.698,35.977,56.496,988.154,0.481
38.387,35.515,56.496,988.151,0.481
39.077,35.064,56.496,988.148,0.481
39.765,34.624,56.496,988.146,0.481
