Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw),Date,ClockTime,Seconds
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / ,Time,,
Mult,USC,250218 10:02:23.525, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000, 9.306658,-5.107420, 6.810459,-1.649702,-18.239663,23.802901, 9.306658,-5.107420, 6.810459,-1.649702,-18.239663,23.802901, 9.306659,-5.107419, 6.810459,-1.649702,-18.239664,23.802901, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000000,-0.000000, 0.000000,-0.000001,-0.000001, 0.000000,-0.000001,-0.000001, 1.012589,-0.002960, 0.001712, 0.020493,-0.061326,,,,,,250218,10:02:23.525,36143.525
Mult,USC,250218 10:02:23.540, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000,10.061201,-5.274755, 5.909851, 1.512415,-19.923855,25.833259,10.061201,-5.274755, 5.909851, 1.512415,-19.923855,25.833259,10.061201,-5.274754, 5.909851, 1.512416,-19.923855,25.833259, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-0.000001, 0.000000, 1.014560,-0.002838, 0.001846, 0.020554,-0.066426,,,,,,250218,10:02:23.540,36143.54
Mult,USC,250218 10:02:23.555, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000, 8.011733,-7.069712,-6.074642, 4.282854, 1.088016,26.515837, 8.011733,-7.069712,-6.074642, 4.282854, 1.088016,26.515837, 8.011733,-7.069711,-6.074642, 4.282854, 1.088016,26.515837, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992, 0.000001,-0.000000, 0.000000,-0.000001,-0.000001,-0.000001, 0.000000, 0.000000, 1.013098,-0.003113, 0.002191, 0.020648,-0.052384,,,,,,250218,10:02:23.555,36143.555
Mult,USC,250218 10:02:23.570, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000, 9.135764,-7.740905, 1.829811, 4.249353,-23.624272,25.409259, 9.135764,-7.740905, 1.829811, 4.249353,-23.624272,25.409259, 9.135765,-7.740905, 1.829811, 4.249354,-23.624272,25.409259, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000000,-0.000001, 0.000001,-0.000001, 0.000000,-0.000001,-0.000001, 1.012717,-0.002960, 0.001877, 0.020142,-0.059725,,,,,,250218,10:02:23.570,36143.57
Mult,USC,250218 10:02:23.585, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000,10.693388,-7.586583,12.666453, 4.929928,-12.724813,23.057899,10.693388,-7.586583,12.666453, 4.929928,-12.724813,23.057899,10.693388,-7.586582,12.666453, 4.929929,-12.724813,23.057899, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000000,-0.000001,-0.000001,-0.000001, 0.000000, 0.000000,-0.000001, 1.011307,-0.003204, 0.002103, 0.021497,-0.070198,,,,,,250218,10:02:23.585,36143.585
Mult,USC,250218 10:02:23.600, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000,10.097823,-6.490706,-1.304359, 0.720549,-5.329268,21.454908,10.097823,-6.490706,-1.304359, 0.720549,-5.329268,21.454908,10.097823,-6.490705,-1.304359, 0.720549,-5.329268,21.454908, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000001, 0.000001,-0.000001, 0.000000,-0.000001, 0.000000,-0.000001, 1.013705,-0.002927, 0.001712, 0.022055,-0.066196,,,,,,250218,10:02:23.600,36143.6
Mult,USC,250218 10:02:23.615, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002,-0.000002, 8.866458,-4.686420,-6.060061, 1.356992,-16.396855,20.294666, 8.866458,-4.686420,-6.060061, 1.356992,-16.396855,20.294666, 8.866458,-4.686420,-6.060061, 1.356993,-16.396855,20.294666, 0.156923, 0.720448,14.618515,69.788550,300.298798, 0.725241, 0.266220,1831408.250000,300.000000,69.549992,-0.000001,-0.000001, 0.000000, 0.000000,-0.000001, 0.000000, 0.000000,-0.000001, 1.010895,-0.002734, 0.001917, 0.023547,-0.058578,,,,,,250218,10:02:23.615,36143.615
Mult,USC,250218 10:02:23.630, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002,-0.000002,10.154745,-4.133078,12.031289, 0.519866,-4.448341,19.304456,10.154745,-4.133078,12.031289, 0.519866,-4.448341,19.304456,10.154746,-4.133078,12.031288, 0.519867,-4.448341,19.304456, 0.156923, 0.720448,14.618515,69.788550,300.298798, 0.725241, 0.266220,1831408.250000,300.000000,69.549992,-0.000001,-0.000001, 0.000000,-0.000001, 0.000000,-0.000001,-0.000001,-0.000001, 1.015167,-0.003296, 0.001910, 0.023615,-0.067187,,,,,,250218,10:02:23.630,36143.63
Mult,USC,250218 10:02:23.645, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002,-0.000002,10.307863,-3.886958, 5.871579,-4.167881,-25.135789,19.068511,10.307863,-3.886958, 5.871579,-4.167881,-25.135789,19.068511,10.307863,-3.886958, 5.871579,-4.167879,-25.135789,19.068511, 0.156923, 0.720448,14.618515,69.788550,300.298798, 0.725241, 0.266220,1831408.250000,300.000000,69.549992,-0.000001,-0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001, 1.011157,-0.003308, 0.001746, 0.022473,-0.068191,,,,,,250218,10:02:23.645,36143.645
Mult,USC,250218 10:02:23.660, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002,-0.000002, 9.526322,-2.976908,-8.163764, 2.245224,-7.329492,18.497218, 9.526322,-2.976908,-8.163764, 2.245224,-7.329492,18.497218, 9.526321,-2.976908,-8.163764, 2.245224,-7.329492,18.497217, 0.156923, 0.720448,14.618515,69.788550,300.298798, 0.725241, 0.266220,1831408.250000,300.000000,69.549992,-0.000001,-0.000000,-0.000001,-0.000001, 0.000000, 0.000000, 0.000000,-0.000001, 1.012592,-0.003113, 0.002078, 0.021371,-0.063378,,,,,,250218,10:02:23.660,36143.66
Mult,USC,250218 10:02:23.675, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002,-0.000002,10.944272,-3.713061, 4.986309,-2.935652,-7.938445,18.175923,10.944272,-3.713061, 4.986309,-2.935652,-7.938445,18.175923,10.944272,-3.713060, 4.986309,-2.935651,-7.938445,18.175923, 0.156923, 0.720448,14.618515,69.788550,300.298798, 0.725241, 0.266220,1831408.250000,300.000000,69.549992,-0.000000,-0.000000,-0.000001, 0.000000, 0.000000,-0.000001, 0.000000,-0.000001, 1.011377,-0.003018, 0.001968, 0.020264,-0.072391,,,,,,250218,10:02:23.675,36143.675
Mult,USC,250218 10:02:23.690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002,-0.000002,10.722977,-4.223373, 8.885095,-1.401594,-18.416997,18.788376,10.722977,-4.223373, 8.885095,-1.401594,-18.416997,18.788376,10.722977,-4.223372, 8.885095,-1.401592,-18.416997,18.788376, 0.156923, 0.720448,14.618515,69.788550,300.298798, 0.725241, 0.266220,1831408.250000,300.000000,69.549992,-0.000001,-0.000001,-0.000001,-0.000001, 0.000000, 0.000000, 0.000000,-0.000001, 1.009430,-0.003082, 0.001880, 0.017731,-0.070942,,,,,,250218,10:02:23.690,36143.69
Mult,USC,250218 10:02:23.705, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002,-0.000002, 9.096403,-5.135640,-2.645872,-1.279663,-2.965890,21.202363, 9.096403,-5.135640,-2.645872,-1.279663,-2.965890,21.202363, 9.096403,-5.135639,-2.645872,-1.279662,-2.965890,21.202363, 0.156923, 0.720448,14.618515,69.788550,300.298798, 0.725241, 0.266220,1831408.250000,300.000000,69.549992,-0.000000,-0.000001, 0.000000, 0.000000, 0.000000,-0.000001, 0.000000,-0.000001, 1.010034,-0.002930, 0.001968, 0.017761,-0.059797,,,,,,250218,10:02:23.705,36143.705
Mult,USC,250218 10:02:23.720, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276,-0.000004, 0.000000,10.974796,-3.849441,-0.344003,-3.083706,-13.470711,17.356149,10.974796,-3.849441,-0.344003,-3.083706,-13.470711,17.356149,10.974796,-3.849441,-0.344003,-3.083707,-13.470711,17.356149, 0.156919, 0.720605,14.621524,69.788550,300.277832, 0.725289, 0.266201,1831657.125000,300.000000,69.549992,-0.000000,-0.000000,-0.000001, 0.000000, 0.000000,-0.000001,-0.000001,-0.000001, 1.010965,-0.002917, 0.001813, 0.018912,-0.072532,,,,,,250218,10:02:23.720,36143.72
Mult,USC,250218 10:02:23.735, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276,-0.000004, 0.000000,10.819476,-2.717064, 9.451417,-1.646433,-11.187988,16.028432,10.819476,-2.717064, 9.451417,-1.646433,-11.187988,16.028432,10.819476,-2.717065, 9.451417,-1.646434,-11.187988,16.028432, 0.156919, 0.720605,14.621524,69.788550,300.277832, 0.725289, 0.266201,1831657.125000,300.000000,69.549992,-0.000001,-0.000000, 0.000000, 0.000000,-0.000001,-0.000001,-0.000001,-0.000001, 1.014148,-0.003052, 0.002063, 0.020389,-0.071861,,,,,,250218,10:02:23.735,36143.735
Mult,USC,250218 10:02:23.750, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276,-0.000004, 0.000000, 8.546564,-3.335667,-3.348888,-4.905344,-12.652985,16.634362, 8.546564,-3.335667,-3.348888,-4.905344,-12.652985,16.634362, 8.546563,-3.335667,-3.348888,-4.905345,-12.652984,16.634362, 0.156919, 0.720605,14.621524,69.788550,300.277832, 0.725289, 0.266201,1831657.125000,300.000000,69.549992,-0.000001,-0.000001, 0.000000, 0.000000, 0.000000, 0.000000,-0.000001,-0.000001, 1.012451,-0.003082, 0.001654, 0.020230,-0.056470,,,,,,250218,10:02:23.750,36143.75
Mult,USC,250218 10:02:23.765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276,-0.000004, 0.000000, 9.076215,-3.597734,-2.704416,-2.996508,-16.264036,18.434877, 9.076215,-3.597734,-2.704416,-2.996508,-16.264036,18.434877, 9.076214,-3.597734,-2.704416,-2.996509,-16.264036,18.434877, 0.156919, 0.720605,14.621524,69.788550,300.277832, 0.725289, 0.266201,1831657.125000,300.000000,69.549992,-0.000000,-0.000000,-0.000001,-0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 1.012741,-0.002838, 0.001999, 0.023889,-0.060016,,,,,,250218,10:02:23.765,36143.765
Mult,USC,250218 10:02:23.780, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276,-0.000004, 0.000000,10.545835,-4.480304,10.828777, 0.620423,-18.782440,20.069345,10.545835,-4.480304,10.828777, 0.620423,-18.782440,20.069345,10.545835,-4.480304,10.828777, 0.620422,-18.782440,20.069345, 0.156919, 0.720605,14.621524,69.788550,300.277832, 0.725289, 0.266201,1831657.125000,300.000000,69.549992,-0.000001,-0.000000,-0.000001,-0.000001, 0.000000, 0.000000, 0.000000, 0.000000, 1.014560,-0.002899, 0.001559, 0.022638,-0.069792,,,,,,250218,10:02:23.780,36143.78
