Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,250217 09:57:51.980, 0.000000, 0.000000, 0.000000, 0.000000, 0.000197, 0.000001, 0.000000,19.311599,-1.697536, 1.258721, 0.358360,-16.590253, 9.191955,19.311599,-1.697536, 1.258721, 0.358360,-16.590253, 9.191955,19.311599,-1.697536, 1.258721, 0.358360,-16.590253, 9.191955, 0.156928, 0.953252,14.595440,72.137271,346.456518, 0.959516, 0.306461,2093029.028750,338.000000,70.565032,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.016157,-0.003082, 0.001940, 0.021498,-0.128760,,,,,
Sing,USC,250217 09:58:44.594, 0.000000, 0.000000, 0.000000, 0.000000, 0.000197, 0.000001, 0.000000,18.935970,-1.710517, 1.281384, 0.399327,-16.482354, 9.350768,18.935970,-1.710517, 1.281384, 0.399327,-16.482354, 9.350768,18.935970,-1.710517, 1.281384, 0.399328,-16.482354, 9.350768, 0.156928, 0.954098,14.593116,72.276625,346.666435, 0.960319, 0.306606,2093087.037500,338.000000,70.565032,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.013464,-0.003124, 0.001998, 0.022042,-0.126226,,,,,
Sing,USC,250217 09:59:43.480, 0.000000, 0.000000, 0.000000, 0.000000, 0.000197, 0.000001, 0.000000,18.109855,-1.708002, 1.323046, 0.404399,-16.216808, 9.295592,18.109855,-1.708002, 1.323046, 0.404399,-16.216808, 9.295592,18.109855,-1.708002, 1.323046, 0.404399,-16.216808, 9.295592, 0.156926, 0.953435,14.594679,72.520636,346.599451, 0.959614, 0.306476,2091215.057500,338.000000,70.565032,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.017297,-0.003153, 0.001915, 0.021902,-0.120721,,,,,
Sing,USC,250217 10:00:13.090, 0.000000, 0.000000, 0.000000, 0.000000, 0.000197, 0.000001, 0.000000,17.350438,-1.754180, 1.428515, 0.414279,-16.065119, 9.363508,17.350438,-1.754180, 1.428515, 0.414279,-16.065119, 9.363508,17.350438,-1.754179, 1.428515, 0.414279,-16.065119, 9.363508, 0.156929, 0.953438,14.592546,72.676953,346.677029, 0.959627, 0.306500,2090301.791250,338.000000,70.565032,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.017151,-0.003192, 0.002067, 0.021197,-0.115628,,,,,
Sing,USC,250217 10:00:30.686, 0.000000, 0.000000, 0.000000, 0.000000, 0.000197, 0.000001, 0.000000,16.805621,-1.743342, 1.460650, 0.384897,-16.030075, 9.439362,16.805621,-1.743342, 1.460650, 0.384897,-16.030075, 9.439362,16.805621,-1.743342, 1.460650, 0.384897,-16.030075, 9.439362, 0.156927, 0.953762,14.594838,72.707699,346.717407, 0.959922, 0.306527,2090608.413750,338.000000,70.565032,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.017277,-0.003116, 0.002096, 0.019750,-0.112014,,,,,
Sing,USC,250217 10:01:06.781, 0.000000, 0.000000, 0.000000, 0.000000, 0.000236, 0.000001, 0.000000,15.721924,-1.751133, 1.570402, 0.393577,-15.843947, 9.659375,15.721924,-1.751133, 1.570402, 0.393577,-15.843947, 9.659375,15.721924,-1.751133, 1.570402, 0.393577,-15.843947, 9.659375, 0.156927, 0.954018,14.592701,72.809804,346.847062, 0.960301, 0.306612,2090342.261250,338.000000,70.565032,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.014985,-0.003071, 0.002064, 0.023272,-0.104775,,,,,
Sing,USC,250217 10:02:27.483, 0.000000, 0.000000, 0.000000, 0.000000, 0.000236, 0.000001, 0.000000,15.535788,-1.607316, 1.255614, 0.365646,-15.187068, 9.880943,15.535788,-1.607316, 1.255614, 0.365646,-15.187068, 9.880943,15.535788,-1.607316, 1.255614, 0.365646,-15.187068, 9.880943, 0.156928, 0.954196,14.591628,73.098093,346.964525, 0.960403, 0.306633,2088984.093750,338.000000,70.565032,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.014053,-0.003097, 0.002118, 0.023397,-0.103551,,,,,
Sing,USC,250217 10:02:50.787, 0.000000, 0.000000, 0.000000, 0.000000, 0.000236, 0.000001, 0.000000,14.965182,-1.624699, 1.321564, 0.381876,-15.324276,10.124323,14.965182,-1.624699, 1.321564, 0.381876,-15.324276,10.124323,14.965182,-1.624698, 1.321564, 0.381876,-15.324276,10.124323, 0.156929, 0.953980,14.592034,73.182460,346.989971, 0.960307, 0.306631,2088367.487500,338.000000,70.565032,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.018366,-0.002987, 0.002197, 0.021414,-0.099757,,,,,
Sing,USC,250217 10:03:10.195, 0.000000, 0.000000, 0.000000, 0.000000, 0.000236, 0.000001, 0.000000,14.244762,-1.660857, 1.361953, 0.367349,-15.462795,10.254900,14.244762,-1.660857, 1.361953, 0.367349,-15.462795,10.254900,14.244762,-1.660857, 1.361953, 0.367350,-15.462795,10.254900, 0.156928, 0.954149,14.589349,73.236802,347.037059, 0.960384, 0.306657,2088086.546250,338.000000,70.565032,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000, 1.017770,-0.002966, 0.001981, 0.022368,-0.094985,,,,,
