Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw),Velocity (fps),Actuation State,Is Image,Key,Load Cell Drag,Base Model Drag,Image Drag,Top Mount Drag,Bottom Mount Drag,ADS Drag,Total Vehicle Drag,Reynolds Number,Cd,Cp from Tip,Real Actuation State
Sing,USC,250217 11:43:25.255,0.0,0.0,0.0,0.0,0.000906,-1.0,0.0,4.990905,-4.042521,0.436861,2.541679,-7.344598,17.239907,4.990905,-4.042521,0.436861,2.541679,-7.344598,17.239907,4.919594,-4.129008,0.436861,2.413111,-7.387838,17.239907,0.156921,0.32275,14.70429,67.661706,199.996725,0.324879,0.177658,1235682.655833,200.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.014031,-0.003006,0.002373,0.020491,-0.032719,,,,,,200,20,False,"(200, 20, -1.0, False)",4.990905,2.8948160000000005,6.548904,1.827044,1.827044,0.2690449999999993,3.163861,530313.8064616626,0.4675243387012732,7.722975867039404,7.21
Sing,USC,250217 11:43:49.357,0.0,0.0,0.0,0.0,0.000906,0.0,0.0,4.945498,-2.258734,0.367725,1.287382,-6.087563,10.304927,4.945498,-2.258734,0.367725,1.287382,-6.087563,10.304927,4.945498,-2.258734,0.367725,1.287382,-6.087563,10.304927,0.156897,0.322746,14.705834,67.651054,199.980931,0.324854,0.177645,1235703.056667,200.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.013108,-0.003004,0.002309,0.021142,-0.032708,,,,,,200,20,False,"(200, 20, 0.0, False)",4.945498,2.927441000000001,6.463677,1.7681179999999994,1.7681179999999994,0.24993899999999947,3.1773800000000003,530322.5618195875,0.46955817720211324,8.020591217617184,7.21
Sing,USC,250217 11:44:13.457,0.0,0.0,0.0,0.0,0.000906,1.0,0.0,4.968529,-0.647089,0.425469,0.18849,-5.557816,4.214118,4.968529,-0.647089,0.425469,0.18849,-5.557816,4.214118,4.979066,-0.560278,0.42547,0.285459,-5.553679,4.214118,0.156921,0.322805,14.7056,67.624418,199.997501,0.32493,0.177665,1235941.141667,200.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.014602,-0.00304,0.00227,0.020488,-0.03312,,,,,,200,20,False,"(200, 20, 1.0, False)",4.968529,2.9400130000000004,6.486373,1.77318,1.77318,0.2553359999999998,3.195349,530424.7399654209,0.47210321493869634,9.970757435736557,7.21
Sing,USC,250217 11:44:37.557,0.0,0.0,0.0,0.0,0.000906,2.0,0.0,5.016273,0.967203,0.498784,-1.031091,-5.265104,-1.754044,5.016273,0.967203,0.498784,-1.031091,-5.265104,-1.754044,4.979463,1.141679,0.498784,-0.846713,-5.297881,-1.754044,0.156902,0.322766,14.703553,67.664543,200.008929,0.324894,0.177668,1235659.343333,200.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.014783,-0.003041,0.002281,0.021124,-0.033852,,,,,,200,20,False,"(200, 20, 2.0, False)",5.016273,2.9818230000000003,6.506691,1.7624339999999998,1.7624339999999998,0.2720159999999998,3.253839,530303.8015137459,0.4807982058375094,5.271855417115125,7.21
Sing,USC,250217 11:45:01.655,0.0,0.0,0.0,0.0,0.000906,3.0,0.0,5.087971,2.633244,0.601617,-2.374036,-5.24902,-7.844214,5.087971,2.633244,0.601617,-2.374036,-5.24902,-7.844214,4.943184,2.895919,0.601617,-2.09607,-5.366074,-7.844214,0.15692,0.322789,14.702919,67.778775,200.032613,0.324886,0.17767,1235275.015833,200.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.015765,-0.003048,0.002246,0.02074,-0.03497,,,,,,200,20,False,"(200, 20, 3.0, False)",5.087971,2.9482349999999995,6.640389,1.8460770000000002,1.8460770000000002,0.2936589999999999,3.2418939999999994,530138.8609616625,0.47904496814381,6.437249833285484,7.21
Sing,USC,250217 11:45:25.756,0.0,0.0,0.0,0.0,0.000906,4.0,0.0,5.218078,4.375717,0.766231,-3.734483,-5.386251,-14.354305,5.218078,4.375717,0.766231,-3.734483,-5.386251,-14.354305,4.900132,4.729053,0.766231,-3.34966,-5.633634,-14.354305,0.156919,0.322762,14.701208,67.903498,200.044969,0.324828,0.17766,1234754.15,200.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.01296,-0.003072,0.002113,0.021097,-0.036522,,,,,,200,20,False,"(200, 20, 4.0, False)",5.218078,3.023549,6.762401,1.8694259999999998,1.8694259999999998,0.32510300000000036,3.3486520000000004,529915.3227083333,0.49490863125161033,6.738779715034893,7.21
Sing,USC,250217 11:45:49.859,0.0,0.0,0.0,0.0,0.000906,5.0,0.0,5.367508,6.239926,0.967122,-5.118135,-5.654247,-21.468516,5.367508,6.239926,0.967122,-5.118135,-5.654247,-21.468516,4.803238,6.683991,0.967122,-4.605859,-6.078805,-21.468516,0.156916,0.322642,14.701009,67.995503,200.031091,0.324721,0.177632,1234267.265833,200.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.014557,-0.003007,0.002323,0.021563,-0.038253,,,,,,200,20,False,"(200, 20, 5.0, False)",5.367508,3.1484570000000005,6.952399,1.9019709999999996,1.9019709999999996,0.3170799999999998,3.4655370000000003,529706.3682533292,0.5123522330890395,6.898841441923083,7.21
Sing,USC,250217 11:46:13.952,0.0,0.0,0.0,0.0,0.000906,6.0,0.0,5.591795,8.19939,1.194818,-6.506787,-6.068452,-28.925688,5.591795,8.19939,1.194818,-6.506787,-6.068452,-28.925688,4.704093,8.738975,1.194818,-5.836816,-6.715353,-28.925688,0.156918,0.32264,14.703183,68.036937,200.047692,0.324779,0.17764,1234308.379167,200.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.014515,-0.003009,0.002485,0.020175,-0.040525,,,,,,200,20,False,"(200, 20, 6.0, False)",5.591795,3.3584879999999995,7.216526,1.9290190000000003,1.9290190000000003,0.30428800000000056,3.662776,529724.0127258375,0.5414157541747591,6.986118692975941,7.21
Sing,USC,250217 12:37:23.241,0.0,0.0,0.0,0.0,0.000945,-1.0,0.0,3.149048,-2.366657,0.103407,2.301264,-4.054201,9.9595,3.149048,-2.366657,0.103407,2.301264,-4.054201,9.9595,3.107265,-2.421255,0.103407,2.230158,-4.093746,9.9595,0.156926,0.181964,14.717948,66.912504,149.993259,0.183156,0.133334,929895.585417,150.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.014145,-0.003036,0.002094,0.021108,-0.020691,,,,,,150,50,False,"(150, 50, -1.0, False)",3.149048,1.5665210000000003,3.661247,1.0473629999999998,1.0473629999999998,0.535164,2.1016850000000002,399080.18874146254,0.5508773847072999,7.666589958606874,33.37
Sing,USC,250217 12:37:48.842,0.0,0.0,0.0,0.0,0.000945,0.0,0.0,3.134383,-1.337266,0.041891,1.187734,-3.287962,5.91513,3.134383,-1.337266,0.041891,1.187734,-3.287962,5.91513,3.134383,-1.337266,0.041891,1.187734,-3.287962,5.91513,0.156904,0.181963,14.716609,66.923161,149.976868,0.183094,0.133318,929670.1175,150.0,68.256863,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.015719,-0.003039,0.002143,0.02101,-0.020749,,,,,,150,50,False,"(150, 50, 0.0, False)",3.134383,1.6143349999999996,3.630313,1.0079890000000002,1.0079890000000002,0.5120590000000003,2.126394,398983.4254270834,0.5575426496427908,7.881634307111176,33.37
