Mach number (​),Reynolds number (​),Thrust (N),Fd,Cd,Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
0.003,1.453E+05,88.288,-1.184E-06,0.828,-1.885E-04,0.565,0.144,0.12
0.003,1.457E+05,264.865,8E-06,0.828,0.001,0.564,0.144,0.12
0.003,1.516E+05,441.441,3.029E-04,0.822,0.044,0.559,0.144,0.12
0.003,1.733E+05,618.017,0.002,0.805,0.26,0.541,0.144,0.12
0.004,2.196E+05,794.594,0.009,0.775,0.599,0.512,0.144,0.12
,,,,,,,,
0.005,2.894E+05,935.074,0.02,0.744,0.821,0.48,0.144,0.12
0.007,3.694E+05,970.949,0.036,0.718,0.897,0.455,0.144,0.12
0.008,4.559E+05,1000.194,0.056,0.698,0.904,0.434,0.144,0.12
0.01,5.474E+05,1029.438,0.079,0.681,0.881,0.418,0.144,0.12
0.012,6.433E+05,1058.683,0.104,0.667,0.842,0.404,0.144,0.12
0.013,7.43E+05,1087.928,0.132,0.656,0.803,0.392,0.144,0.12
0.015,8.465E+05,1117.173,0.164,0.645,0.768,0.382,0.144,0.12
0.017,9.535E+05,1146.418,0.2,0.636,0.739,0.373,0.144,0.12
0.019,1.064E+06,1175.663,0.24,0.628,0.714,0.365,0.144,0.12
0.021,1.178E+06,1204.907,0.286,0.621,0.693,0.358,0.144,0.12
0.023,1.295E+06,1234.152,0.337,0.615,0.675,0.351,0.144,0.12
0.025,1.416E+06,1263.397,0.394,0.609,0.66,0.345,0.144,0.12
0.028,1.54E+06,1288.669,0.456,0.603,0.647,0.34,0.144,0.12
0.03,1.664E+06,1290.105,0.524,0.598,0.637,0.335,0.144,0.12
0.032,1.787E+06,1287.567,0.596,0.594,0.627,0.33,0.144,0.12
0.034,1.911E+06,1285.03,0.673,0.59,0.619,0.326,0.144,0.12
0.036,2.034E+06,1282.493,0.754,0.586,0.613,0.323,0.144,0.12
0.039,2.158E+06,1279.956,0.845,0.586,0.61,0.323,0.144,0.12
0.041,2.281E+06,1277.418,0.941,0.586,0.608,0.323,0.144,0.12
0.043,2.404E+06,1274.881,1.042,0.586,0.606,0.323,0.144,0.12
0.045,2.526E+06,1272.344,1.147,0.587,0.604,0.323,0.144,0.12
0.047,2.649E+06,1269.806,1.258,0.587,0.603,0.323,0.144,0.12
0.05,2.771E+06,1267.269,1.374,0.587,0.601,0.323,0.144,0.12
0.052,2.893E+06,1264.732,1.494,0.587,0.6,0.322,0.144,0.12
0.054,3.015E+06,1262.195,1.62,0.587,0.599,0.322,0.144,0.12
0.056,3.137E+06,1260.148,1.751,0.587,0.598,0.322,0.144,0.12
0.058,3.258E+06,1258.593,1.887,0.587,0.598,0.322,0.144,0.12
0.06,3.38E+06,1257.037,2.028,0.587,0.597,0.322,0.144,0.12
0.063,3.501E+06,1255.482,2.174,0.587,0.596,0.322,0.144,0.121
0.065,3.622E+06,1253.926,2.325,0.587,0.596,0.322,0.144,0.121
0.067,3.744E+06,1252.371,2.481,0.587,0.595,0.322,0.144,0.121
,,,,,,,,
0.069,3.865E+06,1250.815,2.642,0.587,0.595,0.322,0.144,0.121
0.072,4.046E+06,1248.871,2.893,0.587,0.594,0.322,0.144,0.121
0.077,4.317E+06,1245.954,3.29,0.587,0.593,0.322,0.144,0.121
0.085,4.724E+06,1242.675,3.933,0.587,0.593,0.322,0.144,0.121
0.095,5.328E+06,1246.622,4.996,0.588,0.592,0.322,0.144,0.121
0.106,5.938E+06,1252.852,6.198,0.588,0.591,0.322,0.144,0.121
0.117,6.551E+06,1259.036,7.541,0.588,0.591,0.322,0.144,0.122
0.128,7.169E+06,1265.129,9.027,0.589,0.59,0.322,0.145,0.122
0.139,7.79E+06,1271.223,10.661,0.589,0.59,0.322,0.145,0.123
0.151,8.416E+06,1277.342,12.445,0.59,0.59,0.322,0.145,0.123
0.162,9.045E+06,1283.469,14.384,0.59,0.59,0.322,0.145,0.123
0.173,9.678E+06,1289.336,16.482,0.591,0.591,0.322,0.145,0.124
0.185,1.031E+07,1294.711,18.741,0.591,0.591,0.321,0.145,0.124
0.196,1.095E+07,1299.977,21.165,0.592,0.592,0.321,0.146,0.125
0.208,1.16E+07,1303.928,23.754,0.593,0.593,0.321,0.146,0.126
0.22,1.224E+07,1307.463,26.508,0.594,0.594,0.321,0.146,0.126
0.231,1.288E+07,1309.478,29.425,0.594,0.595,0.321,0.147,0.127
0.243,1.353E+07,1308.986,32.496,0.595,0.596,0.321,0.147,0.128
0.254,1.417E+07,1308.375,35.72,0.596,0.596,0.32,0.147,0.128
0.266,1.481E+07,1307.09,39.095,0.597,0.597,0.32,0.147,0.129
0.278,1.545E+07,1305.655,42.62,0.598,0.598,0.32,0.148,0.13
0.289,1.609E+07,1301.486,46.288,0.599,0.599,0.32,0.148,0.131
0.301,1.672E+07,1293.678,50.086,0.6,0.6,0.32,0.149,0.132
