# Base - Reduced Motor (Data loaded from a file)
# 734 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (79.9 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-6.795e-4,-0.135,-13.589,0.135,13.589,0,0,0,0,0,0,41.998,-88.006,32.162,112.529,0,0,0,1.521e4,3671,6.23,0.049,NaN,64.882,NaN,3.18e-4,1.812e4,86.081,-1.448e-5,1.282,-0.15,1.018,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.473e-5,5.157,130,90.012,0,0.328,15,1013,1116.762,0.01,0.002
0.02,0.001,0.236,23.57,0.236,23.57,0,0,0,0,0,0,41.998,-88.006,32.162,54.316,0,0,0,1.52e4,3668,6.229,0.049,NaN,64.882,NaN,3.617e-4,2.061e4,258.243,5.954e-5,1.24,0.477,0.976,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.554e-5,5.157,130,90.012,0,0.328,15,1013,1116.762,0.01,0.003
0.03,0.007,0.843,60.741,0.843,60.741,0,0,0,0,0,0,41.998,-88.006,32.162,21.257,0,0,0,1.52e4,3665,6.228,0.049,NaN,64.882,NaN,8.1e-4,4.616e4,430.405,8.206e-4,1.028,1.311,0.765,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.137e-5,5.157,130,90.012,0,0.328,15,1013,1116.762,0.01,0.004
0.04,0.02,1.821,97.927,1.821,97.927,0,0,0,0,0,0,41.998,-88.006,32.162,10.199,0,0,0,1.52e4,3663,6.227,0.049,NaN,64.882,NaN,0.002,9.448e4,602.567,0.003,0.893,1.067,0.629,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.975e-4,5.157,130,90.012,0,0.328,15,1013,1116.762,0.01,0.005
0.05,0.046,3.173,135.125,3.173,135.125,0,0,0,0,0,0,41.998,-88.006,32.162,5.901,0,0,0,1.519e4,3660,6.226,0.049,NaN,64.882,NaN,0.003,1.628e5,774.729,0.007,0.813,0.881,0.549,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.438e-4,5.157,130,90.012,0,0.328,15,1013,1116.762,0.01,0.007
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.085,4.82,164.77,4.82,164.77,0,0,0,0,0,0,41.998,-88.006,32.162,3.896,0,0,0,1.519e4,3654,6.225,0.049,NaN,64.843,NaN,0.004,2.466e5,911.697,0.014,0.762,0.792,0.498,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.223e-4,5.157,130,90.012,0,0.328,15,1013,1116.762,0.01,0.008
0.07,0.141,6.545,172.411,6.545,172.411,0,0,0,0,0,0,41.998,-88.006,32.162,2.865,0,0,0,1.518e4,3648,6.222,0.049,NaN,64.843,NaN,0.006,3.344e5,946.675,0.024,0.728,0.745,0.465,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.093e-4,5.157,130,90.012,0,0.328,15,1013,1116.762,0.01,0.01
0.08,0.217,8.33,178.665,8.33,178.665,0,0,0,0,0,0,41.998,-88.006,32.162,2.235,0,0,0,1.518e4,3641,6.22,0.049,NaN,64.843,NaN,0.007,4.254e5,975.189,0.038,0.704,0.715,0.441,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.029e-4,5.157,130,90.012,0,0.328,15,1013,1116.762,0.01,0.011
0.09,0.308,10.18,184.918,10.18,184.918,0,0,0,0,0,0,41.998,-88.006,32.162,1.833,0,0,0,1.517e4,3635,6.218,0.049,NaN,64.843,NaN,0.009,5.197e5,1003.703,0.055,0.686,0.693,0.422,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,90.012,0,0.328,14.999,1013,1116.762,0.01,0.013
0.1,0.42,12.09,191.178,12.09,191.178,0,0,0,0,0,0,41.998,-88.006,32.162,1.547,0,0,0,1.516e4,3628,6.216,0.049,NaN,64.843,NaN,0.011,6.172e5,1032.216,0.076,0.671,0.676,0.407,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,90.012,0,0.328,14.999,1013,1116.759,0.01,0.014
0.11,0.551,14.065,197.444,14.065,197.444,0,0,0,0,0,0,41.998,-88.006,32.162,1.318,0,0,0,1.515e4,3621,6.213,0.049,NaN,64.803,NaN,0.013,7.179e5,1060.73,0.1,0.658,0.662,0.395,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,0.328,14.999,1013,1116.759,0.01,0.014
0.12,0.702,16.102,203.714,16.102,203.714,0,0,0,0,0,0,41.998,-88.006,32.162,1.146,0,0,0,1.515e4,3615,6.211,0.049,NaN,64.803,NaN,0.014,8.218e5,1089.244,0.129,0.648,0.65,0.384,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,0.328,14.999,1013,1116.759,0.01,0.015
0.13,0.873,18.202,209.987,18.202,209.987,0,0,0,0,0,0,41.998,-88.006,32.162,1.031,0,0,0,1.514e4,3608,6.209,0.049,NaN,64.803,NaN,0.016,9.289e5,1117.757,0.162,0.638,0.64,0.375,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,0.328,14.998,1013,1116.759,0.01,0.016
0.14,1.066,20.364,216.263,20.364,216.263,0,0,0,0,0,0,41.998,-88.006,32.162,0.917,0,0,0,1.514e4,3602,6.207,0.049,NaN,64.803,NaN,0.018,1.039e6,1146.271,0.2,0.63,0.632,0.366,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,0.328,14.998,1013,1116.759,0.01,0.017
0.15,1.28,22.589,222.546,22.589,222.546,0,0,0,0,0,0,41.998,-88.006,32.162,0.859,0,0,0,1.513e4,3595,6.204,0.049,NaN,64.764,NaN,0.02,1.153e6,1174.785,0.244,0.623,0.624,0.359,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,0.328,14.997,1013,1116.755,0.01,0.018
0.16,1.519,24.875,228.832,24.875,228.832,0,0,0,0,0,0,41.998,-88.006,32.162,0.745,0,0,0,1.512e4,3588,6.202,0.049,NaN,64.764,NaN,0.022,1.269e6,1203.299,0.292,0.616,0.617,0.352,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,0.328,14.997,1013,1116.755,0.01,0.018
0.17,1.778,27.228,235.125,27.228,235.125,0,0,0,0,0,0,41.998,-88.006,32.162,0.688,0,0,0,1.512e4,3582,6.2,0.049,NaN,64.764,NaN,0.024,1.389e6,1231.812,0.346,0.61,0.611,0.346,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,0.328,14.996,1013,1116.755,0.01,0.019
0.18,2.064,29.633,240.587,29.633,240.587,0,0,0,0,0,0,41.998,-88.006,32.162,0.63,0,0,0,1.511e4,3575,6.197,0.049,NaN,64.764,NaN,0.027,1.512e6,1256.453,0.406,0.604,0.605,0.341,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,0.328,14.996,1013,1116.752,0.01,0.02
0.19,2.372,32.041,241.014,32.041,241.014,0,0,0,0,0,0,41.998,-88.006,32.162,0.573,0,0,0,1.51e4,3567,6.195,0.049,NaN,64.724,NaN,0.029,1.635e6,1257.852,0.471,0.599,0.6,0.336,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,0.328,14.995,1013,1116.752,0.01,0.021
0.2,2.703,34.446,240.597,34.446,240.597,0,0,0,0,0,0,41.998,-88.006,32.162,0.573,0,0,0,1.509e4,3560,6.192,0.049,NaN,64.724,NaN,0.031,1.758e6,1255.378,0.54,0.595,0.595,0.331,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,0.328,14.995,1013,1116.752,0.01,0.022
0.21,3.061,36.847,240.18,36.847,240.18,0,0,0,0,0,0,41.998,-88.006,32.162,0.516,0,0,0,1.509e4,3552,6.189,0.049,NaN,64.724,NaN,0.033,1.88e6,1252.904,0.614,0.591,0.591,0.327,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,0.328,14.994,1013,1116.749,0.01,0.024
0.22,3.442,39.245,239.76,39.245,239.76,0,0,0,0,0,0,41.998,-88.006,32.162,0.458,0,0,0,1.508e4,3544,6.187,0.049,NaN,64.685,NaN,0.035,2.003e6,1250.431,0.692,0.587,0.587,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,0.328,14.993,1013,1116.749,0.01,0.025
0.23,3.845,41.637,239.341,41.637,239.341,0,0,0,0,0,0,41.998,-88.006,32.162,0.458,0,0,0,1.507e4,3537,6.184,0.049,NaN,64.685,NaN,0.037,2.125e6,1247.957,0.778,0.586,0.587,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,0.328,14.992,1013,1116.745,0.01,0.026
0.24,4.272,44.026,238.917,44.026,238.917,0,0,0,0,0,0,41.998,-88.006,32.162,0.401,0,0,0,1.506e4,3529,6.182,0.049,NaN,64.685,NaN,0.039,2.246e6,1245.483,0.87,0.586,0.587,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,0.328,14.992,1013,1116.745,0.01,0.027
0.25,4.724,46.411,238.494,46.411,238.494,0,0,0,0,0,0,41.998,-88.006,32.162,0.401,0,0,0,1.506e4,3522,6.179,0.049,NaN,64.685,NaN,0.042,2.368e6,1243.009,0.966,0.586,0.587,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,0.328,14.991,1013,1116.742,0.01,0.029
