Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Mult,USC,250218 10:02:23.522, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000, 9.655318,-4.863175, 2.561654,-1.995776,-19.504623,23.438967, 9.655318,-4.863175, 2.561654,-1.995776,-19.504623,23.438967, 9.655318,-4.863175, 2.561654,-1.995775,-19.504623,23.438967, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000000,-0.000001,-0.000001,-0.000001, 0.000000,-0.000001,-0.000001,-0.000001, 1.012842,-0.002933, 0.001682, 0.021460,-0.063655,,,,,
Mult,USC,250218 10:02:23.534, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000,10.390415,-5.519149,13.119657, 2.421523, 0.281603,25.056529,10.390415,-5.519149,13.119657, 2.421523, 0.281603,25.056529,10.390415,-5.519148,13.119657, 2.421523, 0.281603,25.056529, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000000,-0.000000, 0.000000,-0.000001,-0.000001,-0.000001,-0.000001,-0.000001, 1.015674,-0.003452, 0.001877, 0.021121,-0.068548,,,,,
Mult,USC,250218 10:02:23.546, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000, 9.653919,-6.631322, 0.758165, 0.098962,-27.608043,26.453154, 9.653919,-6.631322, 0.758165, 0.098962,-27.608043,26.453154, 9.653919,-6.631321, 0.758165, 0.098963,-27.608043,26.453154, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000001,-0.000001, 0.000000, 0.000000, 0.000000,-0.000001, 0.000000, 1.014719,-0.003323, 0.001935, 0.023169,-0.063349,,,,,
Mult,USC,250218 10:02:23.558, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000, 8.178222,-7.212390,-5.911438, 5.609544, 1.051335,26.420894, 8.178222,-7.212390,-5.911438, 5.609544, 1.051335,26.420894, 8.178222,-7.212390,-5.911438, 5.609544, 1.051336,26.420894, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000000, 0.000000, 0.000000,-0.000001,-0.000001,-0.000001, 0.000001, 1.013614,-0.003082, 0.001968, 0.020486,-0.053493,,,,,
Mult,USC,250218 10:02:23.570, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000, 9.135764,-7.740905, 1.829811, 4.249353,-23.624272,25.409259, 9.135764,-7.740905, 1.829811, 4.249353,-23.624272,25.409259, 9.135765,-7.740905, 1.829811, 4.249354,-23.624272,25.409259, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000000,-0.000001, 0.000001,-0.000001, 0.000000,-0.000001,-0.000001, 1.012717,-0.002960, 0.001877, 0.020142,-0.059725,,,,,
Mult,USC,250218 10:02:23.582, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000,10.228516,-7.287734,12.210222, 6.238537,-5.730657,23.433200,10.228516,-7.287734,12.210222, 6.238537,-5.730657,23.433200,10.228516,-7.287734,12.210222, 6.238538,-5.730657,23.433200, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000000,-0.000001, 0.000000,-0.000001,-0.000001,-0.000001,-0.000001, 1.011435,-0.003143, 0.001807, 0.021594,-0.067165,,,,,
Mult,USC,250218 10:02:23.594, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000,10.351392,-6.668508, 1.690449, 0.669243,-23.175971,22.121112,10.351392,-6.668508, 1.690449, 0.669243,-23.175971,22.121112,10.351392,-6.668507, 1.690449, 0.669244,-23.175971,22.121112, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000001, 0.000001, 0.000000,-0.000001, 0.000000,-0.000001,-0.000001, 1.010062,-0.003363, 0.001813, 0.021817,-0.067937,,,,,
Mult,USC,250218 10:02:23.606, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002, 0.000000, 9.023854,-5.662341,-6.238504, 1.907623,-7.139681,20.961050, 9.023854,-5.662341,-6.238504, 1.907623,-7.139681,20.961050, 9.023854,-5.662341,-6.238504, 1.907623,-7.139681,20.961050, 0.156948, 0.720842,14.607069,69.788550,300.450897, 0.725407, 0.266355,1830901.000000,300.000000,69.549992,-0.000001,-0.000001,-0.000001,-0.000001, 0.000000,-0.000001,-0.000001, 0.000000, 1.013382,-0.002997, 0.001981, 0.020337,-0.059379,,,,,
Mult,USC,250218 10:02:23.618, 0.000000, 0.000000, 0.000000, 0.000000, 0.000276, 0.000002,-0.000002, 8.529527,-4.233502,-3.709522,-0.780180,-16.798712,20.142015, 8.529527,-4.233502,-3.709522,-0.780180,-16.798712,20.142015, 8.529527,-4.233502,-3.709522,-0.780179,-16.798712,20.142015, 0.156923, 0.720448,14.618515,69.788550,300.298798, 0.725241, 0.266220,1831408.250000,300.000000,69.549992,-0.000001,-0.000000, 0.000001, 0.000001, 0.000000,-0.000001, 0.000000, 0.000000, 1.013190,-0.003049, 0.002014, 0.022696,-0.056325,,,,,
