# Rail Angle - 15deg (Data loaded from a file)
# 732 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (141 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-5.787e-4,-0.115,-11.572,0.121,11.978,-1.551e-4,0,1.551e-4,180.023,0.03,3.1,28.591,-80.615,32.126,76.49,0,0,0,1.521e4,3671,6.234,0.049,NaN,64.882,NaN,0.004,2.216e5,88.288,3.2e-4,0.774,0.022,0.51,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.549e-5,5.157,130,75,0,4.442,13.613,988.2,1114.003,0.01,0.002
0.02,0.001,0.253,25.243,0.262,26.132,3.379e-4,0,3.379e-4,0,0.069,6.765,28.591,-80.615,32.126,71.792,0,0,0,1.52e4,3668,6.233,0.049,NaN,64.882,NaN,0.004,2.272e5,264.865,7.751e-4,0.771,0.05,0.507,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.379e-5,5.157,130,75,0,4.452,13.613,988.2,1114.003,0.01,0.003
0.03,0.007,0.873,62.067,0.902,64.259,0.002,0,0.002,0,0.233,16.631,28.591,-80.615,32.126,64.458,0,0,0,1.52e4,3665,6.232,0.049,NaN,64.882,NaN,0.004,2.396e5,441.441,0.002,0.765,0.126,0.501,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.169e-4,5.157,130,75,0,4.459,13.613,988.2,1114.003,0.01,0.004
0.04,0.02,1.864,98.907,1.929,102.395,0.007,0,0.007,0,0.499,26.503,28.591,-80.615,32.126,54.431,0,0,0,1.52e4,3663,6.231,0.049,NaN,64.882,NaN,0.005,2.662e5,618.017,0.006,0.753,0.287,0.489,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.492e-4,5.157,130,75,0,4.465,13.613,988.2,1114.003,0.01,0.005
0.05,0.046,3.219,135.758,3.333,140.548,0.013,0,0.013,0,0.863,36.375,28.591,-80.615,32.126,43.889,0,0,0,1.519e4,3660,6.23,0.049,NaN,64.882,NaN,0.006,3.129e5,794.594,0.015,0.735,0.507,0.472,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.311e-4,5.157,130,75,0,4.475,13.613,988.2,1114.003,0.01,0.005
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.085,4.869,165.125,5.043,170.951,0.023,0,0.023,0,1.306,44.245,28.591,-80.615,32.126,34.95,0,0,0,1.519e4,3654,6.228,0.049,NaN,64.882,NaN,0.007,3.801e5,935.074,0.03,0.715,0.693,0.452,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.519e-4,5.157,130,75,0,4.491,13.613,988.2,1114.003,0.01,0.006
0.07,0.144,6.598,172.694,6.831,178.786,0.039,0,0.039,0,1.768,46.273,28.591,-80.615,32.126,28.591,0,0,0,1.518e4,3648,6.226,0.049,NaN,64.843,NaN,0.008,4.571e5,970.949,0.05,0.698,0.797,0.434,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.832e-4,5.157,130,75,0,4.508,13.613,988.2,1114.003,0.01,0.007
0.08,0.22,8.386,178.885,8.681,185.194,0.059,0,0.059,0,2.247,47.933,28.591,-80.615,32.126,23.95,0,0,0,1.518e4,3641,6.224,0.049,NaN,64.843,NaN,0.01,5.411e5,1000.194,0.074,0.682,0.845,0.419,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,75,0,4.524,13.613,988.2,1114.003,0.01,0.008
0.09,0.312,10.236,185.079,10.597,191.608,0.082,0,0.082,0,2.743,49.593,28.591,-80.615,32.126,20.455,0,0,0,1.517e4,3635,6.222,0.049,NaN,64.843,NaN,0.011,6.307e5,1029.438,0.102,0.669,0.859,0.405,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,75,0,4.544,13.613,988.2,1114.003,0.01,0.009
0.1,0.423,12.149,191.28,12.575,198.025,0.115,0,0.115,0,3.255,51.253,28.591,-80.615,32.126,17.762,0,0,0,1.516e4,3628,6.219,0.049,NaN,64.843,NaN,0.013,7.251e5,1058.683,0.134,0.658,0.854,0.394,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,75,0,4.56,13.612,988.2,1114.003,0.01,0.009
0.11,0.554,14.121,197.484,14.619,204.449,0.148,0,0.148,0,3.783,52.917,28.591,-80.615,32.126,15.584,0,0,0,1.515e4,3621,6.217,0.049,NaN,64.803,NaN,0.015,8.233e5,1087.928,0.169,0.648,0.838,0.384,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,75,0,4.554,13.612,988.2,1114.003,0.01,0.01
0.12,0.705,16.158,203.691,16.729,210.876,0.19,0,0.19,0,4.331,54.58,28.591,-80.615,32.126,13.808,0,0,0,1.515e4,3615,6.215,0.049,NaN,64.803,NaN,0.017,9.256e5,1117.173,0.207,0.639,0.812,0.375,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,75,0,4.547,13.612,988.2,1114.003,0.01,0.011
0.13,0.879,18.258,209.905,18.901,217.31,0.236,0,0.236,0,4.892,56.243,28.591,-80.615,32.126,12.319,0,0,0,1.514e4,3608,6.213,0.049,NaN,64.803,NaN,0.018,1.032e6,1146.418,0.248,0.631,0.785,0.367,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,75,0,4.544,13.611,988.2,1113.999,0.01,0.012
