# Wind (Data loaded from a file)
# 877 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (84.4 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°C),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-6.555e-4,-0.131,-13.11,0.131,13.11,0,0,0,0,0,0,41.998,-88.006,32.162,90.413,0,0,0,1.521e4,3671,6.234,0.049,NaN,64.882,NaN,0.017,9.363e5,88.288,-1.447e-7,0.638,-5.551e-7,0.374,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.421e-5,5.157,130,90.012,0,18.648,13.616,988.3,1114.009,0.01,0.003
0.02,0.001,0.249,25,0.249,25,0,0,0,0,0,0,41.998,-88.006,32.162,89.21,0,0,0,1.52e4,3668,6.233,0.049,NaN,64.882,NaN,0.017,9.339e5,264.865,1.001e-6,0.638,3.86e-6,0.374,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.709e-5,5.157,130,90.012,0,18.602,13.615,988.3,1114.009,0.01,0.004
0.03,0.007,0.883,63.127,0.883,63.127,0,0,0,0,0,0,41.998,-88.006,32.162,87.261,0,0,0,1.52e4,3665,6.232,0.049,NaN,64.882,NaN,0.017,9.325e5,441.441,4.309e-5,0.638,1.667e-4,0.374,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.551e-5,5.157,130,90.012,0,18.553,13.615,988.3,1114.009,0.01,0.005
0.04,0.02,1.893,101.266,1.893,101.266,0,0,0,0,0,0,41.998,-88.006,32.162,84.168,0,0,0,1.52e4,3663,6.231,0.049,NaN,64.882,NaN,0.017,9.339e5,618.017,4.146e-4,0.638,0.002,0.374,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.052e-4,5.157,130,90.012,0,18.507,13.615,988.3,1114.009,0.01,0.006
0.05,0.046,3.287,139.419,3.287,139.419,0,0,0,0,0,0,41.998,-88.006,32.162,79.928,0,0,0,1.519e4,3660,6.23,0.049,NaN,64.882,NaN,0.017,9.413e5,794.594,0.002,0.637,0.008,0.374,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.563e-4,5.157,130,90.012,0,18.458,13.615,988.3,1114.009,0.01,0.008
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.089,4.987,169.823,4.987,169.823,0,0,0,0,0,0,41.998,-88.006,32.162,74.828,0,0,0,1.519e4,3654,6.228,0.049,NaN,64.882,NaN,0.017,9.563e5,935.074,0.007,0.636,0.025,0.373,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.404e-4,5.157,130,90.012,0,18.386,13.615,988.3,1114.009,0.01,0.009
0.07,0.148,6.762,177.664,6.762,177.664,0,0,0,0,0,0,41.998,-88.006,32.162,69.729,0,0,0,1.518e4,3648,6.226,0.049,NaN,64.843,NaN,0.018,9.799e5,970.949,0.016,0.634,0.056,0.371,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.329e-4,5.157,130,90.012,0,18.31,13.615,988.3,1114.009,0.01,0.01
0.08,0.223,8.602,184.075,8.602,184.075,0,0,0,0,0,0,41.998,-88.006,32.162,64.744,0,0,0,1.518e4,3641,6.224,0.049,NaN,64.843,NaN,0.018,1.012e6,1000.194,0.031,0.632,0.101,0.368,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.324e-4,5.157,130,90.012,0,18.238,13.615,988.3,1114.009,0.01,0.011
0.09,0.318,10.505,190.489,10.505,190.489,0,0,0,0,0,0,41.998,-88.006,32.162,59.931,0,0,0,1.517e4,3635,6.222,0.049,NaN,64.843,NaN,0.019,1.053e6,1029.438,0.052,0.629,0.158,0.365,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,90.012,0,18.163,13.615,988.3,1114.009,0.01,0.012
0.1,0.433,12.474,196.906,12.474,196.906,0,0,0,0,0,0,41.998,-88.006,32.162,55.405,0,0,0,1.516e4,3628,6.219,0.049,NaN,64.843,NaN,0.02,1.103e6,1058.683,0.081,0.626,0.223,0.362,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,5.157,130,90.012,0,18.091,13.615,988.3,1114.006,0.01,0.013
0.11,0.568,14.508,203.33,14.508,203.33,0,0,0,0,0,0,41.998,-88.006,32.162,51.337,0,0,0,1.515e4,3621,6.217,0.049,NaN,64.803,NaN,0.021,1.166e6,1087.928,0.117,0.622,0.289,0.358,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,18.146,13.614,988.2,1114.006,0.01,0.014
0.12,0.725,16.604,209.757,16.604,209.757,0,0,0,0,0,0,41.998,-88.006,32.162,47.613,0,0,0,1.515e4,3615,6.215,0.049,NaN,64.803,NaN,0.022,1.237e6,1117.173,0.161,0.618,0.355,0.354,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,18.202,13.614,988.2,1114.006,0.01,0.015
0.13,0.902,18.766,216.188,18.766,216.188,0,0,0,0,0,0,41.998,-88.006,32.162,44.232,0,0,0,1.514e4,3608,6.213,0.049,NaN,64.803,NaN,0.024,1.314e6,1146.418,0.214,0.614,0.417,0.35,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,18.258,13.614,988.2,1114.006,0.01,0.016
0.14,1.099,20.991,222.621,20.991,222.621,0,0,0,0,0,0,41.998,-88.006,32.162,41.081,0,0,0,1.514e4,3602,6.21,0.049,NaN,64.803,NaN,0.025,1.399e6,1175.663,0.276,0.61,0.474,0.346,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,5.157,130,90.012,0,18.314,13.613,988.2,1114.006,0.01,0.017
0.15,1.322,23.281,229.058,23.281,229.058,0,0,0,0,0,0,41.998,-88.006,32.162,38.274,0,0,0,1.513e4,3595,6.208,0.049,NaN,64.803,NaN,0.027,1.489e6,1204.907,0.346,0.605,0.525,0.342,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.369,13.613,988.2,1114.003,0.01,0.018
0.16,1.565,25.636,235.502,25.636,235.502,0,0,0,0,0,0,41.998,-88.006,32.162,35.523,0,0,0,1.512e4,3588,6.206,0.049,NaN,64.764,NaN,0.028,1.581e6,1234.152,0.426,0.602,0.572,0.338,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.304,13.612,988.2,1114.003,0.01,0.019
0.17,1.834,28.054,241.946,28.054,241.946,0,0,0,0,0,0,41.998,-88.006,32.162,33.002,0,0,0,1.512e4,3582,6.203,0.049,NaN,64.764,NaN,0.03,1.68e6,1263.397,0.514,0.598,0.613,0.334,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.235,13.612,988.2,1114.003,0.01,0.019
0.18,2.126,30.531,247.539,30.531,247.539,0,0,0,0,0,0,41.998,-88.006,32.162,30.768,0,0,0,1.511e4,3575,6.201,0.049,NaN,64.764,NaN,0.032,1.783e6,1288.669,0.611,0.594,0.646,0.33,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.166,13.611,988.2,1113.999,0.01,0.02
0.19,2.444,33.009,247.969,33.009,247.969,0,0,0,0,0,0,41.998,-88.006,32.162,28.762,0,0,0,1.51e4,3567,6.198,0.049,NaN,64.724,NaN,0.034,1.89e6,1290.105,0.714,0.591,0.673,0.327,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.097,13.611,988.2,1113.999,0.01,0.021
0.2,2.789,35.486,247.536,35.486,247.536,0,0,0,0,0,0,41.998,-88.006,32.162,26.929,0,0,0,1.509e4,3560,6.196,0.049,NaN,64.724,NaN,0.036,1.998e6,1287.567,0.823,0.587,0.693,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.031,13.61,988.2,1113.999,0.01,0.022
0.21,3.156,37.956,247.1,37.956,247.1,0,0,0,0,0,0,41.998,-88.006,32.162,25.439,0,0,0,1.509e4,3552,6.193,0.049,NaN,64.724,NaN,0.038,2.11e6,1285.03,0.94,0.586,0.71,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.061,13.609,988.2,1113.996,0.01,0.023
0.22,3.547,40.42,246.66,40.42,246.66,0,0,0,0,0,0,41.998,-88.006,32.162,24.122,0,0,0,1.508e4,3544,6.191,0.049,NaN,64.724,NaN,0.04,2.223e6,1282.493,1.065,0.586,0.724,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.091,13.608,988.1,1113.996,0.01,0.024
0.23,3.963,42.884,246.217,42.884,246.217,0,0,0,0,0,0,41.998,-88.006,32.162,22.918,0,0,0,1.507e4,3537,6.188,0.049,NaN,64.685,NaN,0.042,2.337e6,1279.956,1.195,0.586,0.736,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.117,13.608,988.1,1113.993,0.01,0.026
0.24,4.403,45.341,245.774,45.341,245.774,0,0,0,0,0,0,41.998,-88.006,32.162,21.83,0,0,0,1.506e4,3529,6.185,0.049,NaN,64.685,NaN,0.044,2.451e6,1277.418,1.33,0.587,0.744,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,5.157,130,90.012,0,18.146,13.607,988.1,1113.993,0.01,0.027
0.25,4.869,47.792,245.331,47.792,245.331,0,0,0,0,0,0,41.998,-88.006,32.162,20.798,0,0,0,1.506e4,3522,6.183,0.049,NaN,64.685,NaN,0.046,2.567e6,1274.881,1.471,0.587,0.751,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,18.176,13.606,988.1,1113.99,0.01,0.028
0.26,5.361,50.24,244.885,50.24,244.885,0,0,0,0,0,0,41.998,-88.006,32.162,20.34,0,0,0,1.505e4,3514,6.18,0.049,NaN,64.646,NaN,0.048,2.69e6,1272.344,1.621,0.587,0.754,0.323,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,18.629,13.605,988.1,1113.986,0.01,0.029
0.27,5.876,52.684,244.436,52.684,244.436,0,0,0,0,0,0,41.998,-88.006,32.162,19.882,0,0,0,1.504e4,3507,6.177,0.049,NaN,64.646,NaN,0.05,2.813e6,1269.806,1.778,0.587,0.756,0.322,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,19.081,13.604,988.1,1113.986,0.01,0.03
0.28,6.414,55.125,243.986,55.125,243.986,0,0,0,0,0,0,41.998,-88.006,32.162,19.538,0,0,0,1.503e4,3499,6.175,0.049,NaN,64.646,NaN,0.052,2.936e6,1267.269,1.941,0.587,0.757,0.322,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,19.534,13.603,988,1113.983,0.01,0.031
0.29,6.978,57.559,243.533,57.559,243.533,0,0,0,0,0,0,41.998,-88.006,32.162,19.137,0,0,0,1.503e4,3492,6.172,0.049,NaN,64.646,NaN,0.055,3.058e6,1264.732,2.111,0.587,0.759,0.322,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,19.987,13.602,988,1113.983,0.01,0.032
0.3,7.566,59.99,243.081,59.99,243.081,0,0,0,0,0,0,41.998,-88.006,32.162,18.793,0,0,0,1.502e4,3484,6.169,0.049,NaN,64.606,NaN,0.057,3.181e6,1262.195,2.287,0.587,0.76,0.322,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,20.436,13.601,988,1113.98,0.01,0.033
0.31,8.176,62.415,242.73,62.415,242.73,0,0,0,0,0,0,41.998,-88.006,32.162,18.22,0,0,0,1.501e4,3477,6.167,0.049,NaN,64.606,NaN,0.059,3.298e6,1260.148,2.464,0.587,0.761,0.322,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,20.554,13.599,988,1113.976,0.01,0.034
0.32,8.812,64.839,242.487,64.839,242.487,0,0,0,0,0,0,41.998,-88.006,32.162,17.704,0,0,0,1.5e4,3469,6.164,0.049,NaN,64.606,NaN,0.061,3.416e6,1258.593,2.646,0.587,0.762,0.322,0.144,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,20.676,13.598,988,1113.973,0.01,0.034
0.33,9.475,67.264,242.241,67.264,242.241,0,0,0,0,0,0,41.998,-88.006,32.162,17.189,0,0,0,1.5e4,3462,6.162,0.049,NaN,64.567,NaN,0.063,3.534e6,1257.037,2.833,0.587,0.763,0.322,0.144,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,20.794,13.597,987.9,1113.973,0.01,0.035
0.34,10.157,69.682,241.995,69.682,241.995,0,0,0,0,0,0,41.998,-88.006,32.162,16.73,0,0,0,1.499e4,3454,6.159,0.049,NaN,64.567,NaN,0.065,3.651e6,1255.482,3.025,0.587,0.763,0.322,0.144,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,20.912,13.595,987.9,1113.97,0.01,0.036
0.35,10.866,72.1,241.745,72.1,241.745,0,0,0,0,0,0,41.998,-88.006,32.162,16.272,0,0,0,1.498e4,3447,6.157,0.049,NaN,64.567,NaN,0.067,3.769e6,1253.926,3.22,0.587,0.762,0.322,0.144,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,21.03,13.594,987.9,1113.967,0.01,0.036
0.36,11.601,74.514,241.496,74.514,241.496,0,0,0,0,0,0,41.998,-88.006,32.162,16.043,0,0,0,1.497e4,3440,6.154,0.049,NaN,64.567,NaN,0.07,3.891e6,1252.371,3.429,0.587,0.761,0.322,0.144,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,5.157,130,90.012,0,21.411,13.593,987.9,1113.963,0.01,0.037
# Event LAUNCHROD occurred at t=0.37 seconds
0.37,12.359,76.926,241.243,76.926,241.243,0,0,0,0,0,0,41.998,-88.006,32.162,15.814,0,0,0,1.497e4,3432,6.151,0.049,NaN,64.528,NaN,0.072,4.013e6,1250.815,3.643,0.587,0.761,0.322,0.144,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,5.157,130,90.012,0,21.791,13.591,987.8,1113.96,0.01,0.038
