Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5791458891,0.4826215743,0.4826215743,0.4826215743,0.4826215743,0,0,0,0,11.17786133,68.77375531,68.77375531,514802.1
0.02,0,0.6343496502,0.5286247085,0.5286247085,0.5286247085,0.5286247085,0,0,0,0,11.17786133,68.77375531,68.77375531,1029604
0.03,0,0.6484213958,0.5403511631,0.5403511631,0.5403511631,0.5403511631,0,0,0,0,11.17786133,68.77375531,68.77375531,1544406
0.04,0,0.6526134595,0.5438445496,0.5438445496,0.5438445496,0.5438445496,0,0,0,0,11.17786133,68.77375531,68.77375531,2059208
0.05,0,0.6534862373,0.5445718644,0.5445718644,0.5445718644,0.5445718644,0,0,0,0,11.17786133,68.77375531,68.77375531,2574010
0.06,0,0.6530249148,0.544187429,0.544187429,0.544187429,0.544187429,0,0,0,0,11.17786133,68.77375531,68.77375531,3088812
0.07,0,0.6519826971,0.5433189142,0.5433189142,0.5433189142,0.5433189142,0,0,0,0,11.17786133,68.77375531,68.77375531,3603614
0.08,0,0.6506871949,0.5422393291,0.5422393291,0.5422393291,0.5422393291,0,0,0,0,11.17786133,68.77375531,68.77375531,4118416
0.09,0,0.649293696,0.54107808,0.54107808,0.54107808,0.54107808,0,0,0,0,11.17786133,68.77375531,68.77375531,4633219
0.1,0,0.6478797325,0.5398997771,0.5398997771,0.5398997771,0.5398997771,0,0,0,0,11.17786133,68.77375531,68.77375531,5148021
0.11,0,0.6464849239,0.5387374366,0.5387374366,0.5387374366,0.5387374366,0,0,0,0,11.17786133,68.77375531,68.77375531,5662823
0.12,0,0.645129364,0.5376078034,0.5376078034,0.5376078034,0.5376078034,0,0,0,0,11.17786133,68.77375531,68.77375531,6177625
0.13,0,0.6438226872,0.536518906,0.536518906,0.536518906,0.536518906,0,0,0,0,11.17786133,68.77375531,68.77375531,6692427
0.14,0,0.6425687852,0.5354739877,0.5354739877,0.5354739877,0.5354739877,0,0,0,0,11.17786133,68.77375531,68.77375531,7207229
0.15,0,0.6413683615,0.5344736346,0.5344736346,0.5344736346,0.5344736346,0,0,0,0,11.17786133,68.77375531,68.77375531,7722032
0.16,0,0.6402203714,0.5335169762,0.5335169762,0.5335169762,0.5335169762,0,0,0,0,11.17786133,68.77375531,68.77375531,8236833
0.17,0,0.6391228144,0.5326023453,0.5326023453,0.5326023453,0.5326023453,0,0,0,0,11.17786133,68.77375531,68.77375531,8751636
0.18,0,0.63807324,0.5317277,0.5317277,0.5317277,0.5317277,0,0,0,0,11.17786133,68.77375531,68.77375531,9266438
0.19,0,0.637069003,0.5308908358,0.5308908358,0.5308908358,0.5308908358,0,0,0,0,11.17786133,68.77375531,68.77375531,9781239
0.2,0,0.6361074293,0.5300895244,0.5300895244,0.5300895244,0.5300895244,0,0,0,0,11.17786133,68.77375531,68.77375531,10296040
