#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 11044, 1,N0CALL,    -1.84, -67,   7, 3,   boost,   -0.00,  99034.00,  192.48,    0.17,    0.00,  6.1, 3.83, 3.83, 3.87,  -9.89,  -0.07,   0.04,   0.06,  -0.31,  -0.12,  -0.98,  -0.11,   0.14,   1.00, 3.86, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1615022,   237.0, 2024,  2, 11, 20, 19,  6,        0,        0, 270,   0,   1.3,   0.8,   1.0,  0, 30, 39,  0,  0,  0, 36, 33,  0,  0,  0,  0, 30, 24, 37,  0, 16,  0, 34,  0, 36, 31,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
6, 11044, 1,N0CALL,    -1.84, -68,   6, 3,   boost,   -0.00,  99034.00,  192.48,    0.17,    0.00,  6.1, 3.83, 3.83, 3.87,  -9.89,  -0.07,   0.04,   0.06,  -0.31,  -0.12,  -0.98,  -0.11,   0.14,   1.00, 3.86, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1615022,   237.0, 2024,  2, 11, 20, 19,  6,        0,        0, 270,   0,   1.3,   0.8,   1.0,  0, 30, 39,  0,  0,  0, 36, 33,  0,  0,  0,  0, 30, 24, 37,  0, 16,  0, 34,  0, 36, 31,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
6, 11044, 1,N0CALL,    -1.41, -67,   9, 3,   boost,   -0.00,  99034.00,  192.48,    0.17,    0.00,  6.1, 3.83, 3.83, 3.87,  -9.89,  -0.07,   0.04,   0.06,  -0.31,  -0.12,  -0.98,  -0.11,   0.14,   1.00, 3.86, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1615022,   237.0, 2024,  2, 11, 20, 19,  6,        0,        0, 270,   0,   1.3,   0.8,   1.0,  0, 30, 39,  0,  0,  0, 36, 33,  0,  0,  0,  0, 30, 24, 37,  0, 16,  0, 34,  0, 36, 31,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
6, 11044, 1,N0CALL,    -1.38, -68,   6, 3,   boost,   -0.00,  99034.00,  192.48,    0.17,    0.00,  6.1, 3.83, 3.83, 3.87,  -9.89,  -0.07,   0.04,   0.06,  -0.31,  -0.12,  -0.98,  -0.11,   0.14,   1.00, 3.86, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1615022,   237.0, 2024,  2, 11, 20, 19,  6,        0,        0, 270,   0,   1.3,   0.8,   1.0,  0, 30, 39,  0,  0,  0, 36, 33,  0,  0,  0,  0, 30, 24, 37,  0, 16,  0, 34,  0, 36, 31,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
6, 11044, 1,N0CALL,    -0.84, -68,   6, 3,   boost,   -0.00,  99034.00,  192.48,    0.17,    0.00,  6.1, 3.83, 3.83, 3.87,  -9.89,  -0.07,   0.04,   0.06,  -0.31,  -0.12,  -0.98,  -0.11,   0.14,   1.00, 3.86, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1614974,   237.0, 2024,  2, 11, 20, 19,  7,        0,        0,   0,   0,   1.3,   0.8,   1.0,  0, 31, 39,  0,  0,  0, 35, 33,  0,  0,  0,  0, 30, 23, 37,  0, 16,  0, 34,  0, 36, 30,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
6, 11044, 1,N0CALL,    -0.84, -68,   8, 3,   boost,   -0.00,  99034.00,  192.48,    0.17,    0.00,  6.1, 3.83, 3.83, 3.87,  -9.89,  -0.07,   0.04,   0.06,  -0.31,  -0.12,  -0.98,  -0.11,   0.14,   1.00, 3.86, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1614974,   237.0, 2024,  2, 11, 20, 19,  7,        0,        0,   0,   0,   1.3,   0.8,   1.0,  0, 31, 39,  0,  0,  0, 35, 33,  0,  0,  0,  0, 30, 23, 37,  0, 16,  0, 34,  0, 36, 30,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
6, 11044, 1,N0CALL,    -0.84, -68,  10, 3,   boost,   -0.00,  99034.00,  192.48,    0.17,    0.00,  6.1, 3.83, 3.83, 3.87,  -9.89,  -0.07,   0.04,   0.06,  -0.31,  -0.12,  -0.98,  -0.11,   0.14,   1.00, 3.86, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1614974,   237.0, 2024,  2, 11, 20, 19,  7,        0,        0,   0,   0,   1.3,   0.8,   1.0,  0, 31, 39,  0,  0,  0, 35, 33,  0,  0,  0,  0, 30, 23, 37,  0, 16,  0, 34,  0, 36, 30,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
6, 11044, 1,N0CALL,    -0.84, -60,   6, 3,   boost,   -0.00,  99034.00,  192.48,    0.17,    0.00,  6.1, 3.83, 3.83, 3.87,  -9.89,  -0.07,   0.04,   0.06,  -0.31,  -0.12,  -0.98,  -0.11,   0.14,   1.00, 3.86, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1614974,   237.0, 2024,  2, 11, 20, 19,  7,        0,        0,   0,   0,   1.3,   0.8,   1.0,  0, 31, 39,  0,  0,  0, 35, 33,  0,  0,  0,  0, 30, 23, 37,  0, 16,  0, 34,  0, 36, 30,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
6, 11044, 1,N0CALL,    -0.40, -69,   7, 3,   boost,   -1.44,  99034.00,  192.48,    0.17,    0.00,  6.2, 3.83, 3.83, 3.87,  -9.85,  -0.16,  -0.08,   0.12,  -0.24,   0.06,  -0.98,  -0.11,   0.14,   1.00, 3.86, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1614974,   237.0, 2024,  2, 11, 20, 19,  7,        0,        0,   0,   0,   1.3,   0.8,   1.0,  0, 31, 39,  0,  0,  0, 35, 33,  0,  0,  0,  0, 30, 23, 37,  0, 16,  0, 34,  0, 36, 30,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
6, 11044, 1,N0CALL,    -0.37, -69,   6, 3,   boost,   -1.44,  99034.00,  192.48,    0.17,    0.00,  6.2, 3.83, 3.83, 3.87,  -9.85,  -0.16,  -0.08,   0.12,  -0.24,   0.06,  -0.98,  -0.11,   0.14,   1.00, 3.87, 0.00, 0.00, 0.00, 0.00, 1, 1, 13,  42.6264331, -88.1614974,   237.0, 2024,  2, 11, 20, 19,  7,        0,        0,   0,   0,   1.3,   0.8,   1.0,  0, 31, 39,  0,  0,  0, 35, 33,  0,  0,  0,  0, 30, 23, 37,  0, 16,  0, 34,  0, 36, 30,  0,  0,  0,  0,  0,  0,  0, 32,  0,  0
